	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nrf1	0.0	0.27	0.06	0.0	1.73	1.39	1.31	79.71	0.0	35.21	0.0	144.4	1.6	40.09	0.78	0.25	6.83	0.0	0.34	0.16	0.31	1.81	0.46	1.26	13.31	0.28	0.73	0.26	1.65	0.63	1.45	5.45	40.15	0.1	0.53	25.13	0.21	0.0	0.0	10.05	13.77	0.09	3.17	0.0	0.23	0.09	0.49	3.9	13.32	5.5	23.64	27.02	0.83	0.06	0.23	0.17	2.08	0.44	0.38	0.73	2.56	9.34	25.82	25.21	22.11	5.77	11.97	9.59	8.32	12.7	12.49	11.49
Nup153	10.62	4.27	0.0	21.2	0.0	26.74	9.78	0.0	0.0	0.0	39.86	124.47	0.0	0.0	0.0	0.0	0.0	0.0	5.49	21.44	4.06	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.23	0.04	12.17	0.26	0.0	0.0	2.55	11.8	0.0	0.0	0.0	4.45	4.46	15.7	17.66	5.57	13.11	5.7	0.0	0.0	0.0	20.5	0.1	7.37	0.16	0.0	0.0	0.0	17.15	0.0	3.62	10.66	3.11	10.83	7.34	3.22	3.65	22.9	22.28	22.75
Olfr1033	0.51	0.0	0.66	0.0	0.1	0.41	0.17	1.15	0.0	1.21	0.33	2.71	0.52	1.07	0.39	0.0	0.06	0.0	0.06	0.15	0.13	0.4	0.28	0.11	0.15	0.14	0.16	0.07	0.0	0.11	0.08	1.49	0.42	0.09	0.0	0.09	0.19	0.17	0.12	0.14	0.0	0.71	0.71	0.41	0.0	0.0	0.07	0.61	0.28	0.28	0.07	0.0	0.27	0.24	0.2	0.0	0.0	0.85	1.0	0.2	0.08	0.38	0.26	0.31	0.18	0.0	0.08	0.18	0.09	0.71	0.79	0.58
Olfr544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.44
Olfr545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.5	0.0
Osgin2	0.0	33.38	0.0	0.0	47.36	0.0	0.0	48.75	2.91	62.17	36.05	222.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.06	1.61	2.01	0.0	0.0	12.3	0.0	0.15	0.0	0.0	0.0	60.89	0.0	0.0	0.0	21.76	0.0	0.0	0.0	27.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45	0.0	0.0	0.0	4.62	0.0	10.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.04	9.96	0.87	7.22	6.51	2.76	16.86	15.88	17.44
Pawr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.26	3.17	2.41
Pcdhgb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.22	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	10.77	0.49	0.0	0.12	0.42	0.0	8.59	9.12	8.06
Pcdhgc3	0.0	0.0	0.0	0.0	3.47	0.0	0.0	0.0	65.2	0.0	0.0	152.94	0.0	0.0	0.0	6.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.96	0.0	29.31	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.32	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	69.89	0.0	0.0	0.0	0.0	0.0	5.53	2.53	3.78	0.4	0.0	60.91	59.52	67.87
Pdpk1	50.71	6.51	5.34	0.0	0.0	0.0	0.14	0.0	26.55	57.1	32.01	141.93	0.13	32.3	12.26	40.64	0.03	0.0	8.75	6.37	0.19	28.57	0.06	13.17	1.25	8.22	0.0	34.8	66.79	1.39	10.02	11.94	5.62	43.88	12.19	32.62	9.91	11.79	37.41	0.0	39.51	0.08	28.04	48.53	0.27	26.86	0.0	6.95	45.85	12.33	0.33	17.0	0.0	0.25	4.45	9.94	6.91	6.73	0.0	3.78	0.54	0.0	12.11	16.24	13.43	21.9	15.66	14.47	13.77	63.52	57.57	60.93
Pgr	5.41	0.39	2.52	0.0	0.0	0.04	0.0	0.03	0.0	0.0	2.81	30.72	0.0	0.0	6.49	0.0	2.23	0.0	0.0	0.01	0.0	3.26	0.04	0.0	0.0	0.0	0.8	0.0	4.01	0.0	0.0	0.0	5.45	0.0	0.0	0.0	0.03	3.55	0.0	0.0	0.0	0.0	0.0	4.55	0.0	0.0	0.81	0.19	4.56	2.89	1.07	12.46	0.0	0.0	0.0	0.0	0.0	0.06	20.11	0.77	0.0	0.0	4.22	5.07	4.84	2.05	1.97	2.86	3.04	16.22	14.56	15.05
Pi4ka	13.38	45.96	4.06	18.36	37.44	15.1	5.16	101.58	20.09	22.11	35.14	185.36	31.03	0.0	82.5	49.92	40.2	0.0	60.11	18.63	32.53	47.74	19.48	14.63	5.42	24.55	3.01	25.74	37.95	1.62	3.48	63.38	30.95	4.96	42.34	5.59	20.55	28.14	6.09	23.51	37.47	36.37	35.32	10.13	15.98	11.48	7.05	28.14	73.0	28.48	11.7	5.76	12.65	4.19	36.34	26.85	40.95	93.37	57.08	1.21	51.14	127.78	27.08	21.15	40.95	50.39	42.74	36.37	41.41	151.13	142.37	151.54
Plch1	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	17.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	1.41	2.07	1.42	5.59	5.47	5.68
Pms2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.2	0.0	131.37	0.0	0.0	55.63	0.13	9.81	0.0	0.0	45.15	57.24	0.05	85.33	0.0	0.08	0.0	0.0	9.58	0.0	0.0	2.51	20.88	49.12	81.12	0.0	0.0	31.21	0.0	0.0	46.98	0.0	0.0	11.26	0.0	0.0	0.0	0.0	10.59	55.26	16.78	0.0	0.0	0.0	0.04	0.18	0.0	0.0	0.0	103.58	0.0	3.67	0.0	9.7	32.53	24.47	60.6	26.85	23.23	18.49	11.87	11.86	12.48
Pole4	0.0	0.0	14.9	0.24	0.0	47.86	0.0	61.95	19.94	0.39	0.0	235.55	0.0	0.0	0.0	85.76	0.0	0.0	27.19	32.83	74.23	17.31	0.0	33.99	0.0	23.95	0.0	0.33	43.39	5.33	10.47	38.89	114.38	0.0	0.0	4.83	77.49	23.89	0.0	46.34	10.23	0.0	94.57	0.16	9.03	34.3	10.63	40.57	19.92	31.59	19.71	55.17	0.0	76.76	28.29	26.97	23.34	0.0	0.0	1.83	36.35	100.12	15.02	14.63	10.92	23.69	11.6	8.23	7.89	37.71	38.4	35.9
Pspc1	0.0	0.0	0.0	0.0	0.0	0.0	2.86	1.75	0.0	0.0	60.89	225.5	0.0	0.0	0.0	0.0	0.0	0.0	36.66	42.3	5.6	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	14.2	0.0	0.0	0.0	0.0	0.0	37.49	0.0	0.0	0.0	79.45	0.0	0.0	56.9	6.01	0.0	0.0	42.32	11.35	0.0	4.05	0.0	15.17	86.0	0.0	6.73	4.11	0.0	0.0	7.6	0.0	0.0	0.0	4.81	10.43	16.41	1.09	3.15	2.76	9.68	46.17	50.17	47.53
Pten	32.82	17.21	0.05	0.1	10.38	10.31	47.65	29.14	93.22	53.37	104.61	59.63	9.0	54.99	71.08	88.52	4.3	0.0	16.3	20.68	2.16	22.71	27.32	12.7	12.66	14.15	18.72	31.83	25.52	32.19	3.96	15.4	21.33	39.96	17.06	18.37	20.17	6.36	34.61	15.94	16.44	17.79	5.83	18.84	14.46	6.46	10.45	34.26	120.06	34.83	42.31	15.66	30.2	10.67	21.79	26.98	32.64	16.16	63.46	11.73	18.81	14.17	46.51	37.4	52.12	58.05	61.91	35.2	42.1	64.81	63.48	64.75
Ptk2b	0.0	0.0	0.0	0.0	0.0	9.23	0.54	0.0	0.0	0.84	47.74	71.45	0.0	0.0	15.54	20.8	0.0	0.0	40.56	0.08	0.03	2.65	0.03	0.03	34.26	13.95	0.08	39.44	0.0	16.67	1.4	0.0	0.0	7.57	0.0	5.31	0.0	0.0	0.0	0.0	8.1	0.0	36.2	0.14	0.0	0.24	5.2	75.77	100.46	114.0	2.14	11.71	0.26	0.0	0.0	4.95	0.0	0.0	0.0	0.0	27.03	0.0	89.08	105.42	79.65	94.09	69.56	86.95	69.33	310.21	322.91	308.74
Ptov1	0.0	0.0	0.0	1.29	0.0	0.0	2.3	1.48	0.53	0.35	15.94	69.48	0.0	0.0	55.08	0.0	0.0	0.0	15.89	0.3	17.66	5.08	32.99	26.84	0.36	0.13	0.0	0.0	7.28	4.13	7.45	3.47	0.0	2.06	6.19	1.56	12.22	1.37	0.5	0.27	0.89	18.79	0.0	0.88	3.2	0.12	51.49	3.54	40.96	4.3	0.77	18.85	45.05	0.64	15.1	0.36	0.26	0.0	35.13	3.6	0.49	0.0	0.9	6.63	2.54	1.01	3.84	6.09	6.52	132.19	154.59	143.07
Ptpn1	4.68	0.0	0.0	0.0	0.0	0.06	33.03	0.98	0.0	27.71	9.51	57.78	0.0	0.0	0.0	0.0	0.05	0.0	0.04	0.0	0.0	0.12	0.0	0.0	0.66	0.0	10.0	0.0	4.3	0.0	0.0	0.0	0.0	0.06	0.16	0.0	7.68	0.0	0.0	0.0	0.0	0.07	0.0	0.06	0.0	0.55	25.87	12.66	2.47	10.22	0.0	0.11	3.46	0.0	17.36	0.55	0.0	0.0	41.43	18.28	0.36	0.0	0.0	7.99	0.4	10.34	2.46	4.3	3.68	32.35	32.97	30.2
Ramp1	0.0	0.0	0.0	0.0	0.0	0.1	0.19	21.92	16.93	0.0	5.07	64.42	0.39	44.81	4.42	0.07	0.0	0.0	0.06	0.1	0.01	0.26	0.05	0.08	0.08	0.09	0.0	0.1	0.0	0.0	3.56	0.22	0.09	0.0	0.0	0.13	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	34.44	127.98	49.13	0.0	0.18	0.0	0.0	0.0	0.09	0.0	0.0	44.88	0.08	0.0	40.53	48.87	75.52	37.57	30.78	17.41	28.55	26.95	46.29	49.4	47.35
Rasgrp1	0.15	0.31	0.18	0.07	0.0	0.07	0.39	1.52	0.1	0.0	0.0	166.71	0.24	0.0	0.1	3.75	92.11	0.0	10.4	0.31	3.42	0.14	0.18	4.18	1.64	29.67	0.16	0.05	32.14	47.15	3.04	17.13	5.36	0.09	0.08	25.59	0.33	30.54	0.0	0.05	0.0	14.79	1.29	8.62	22.16	25.3	24.83	72.21	170.06	89.61	0.0	0.09	0.28	41.24	0.09	19.45	0.0	0.09	83.9	0.06	0.0	0.55	101.5	102.36	107.21	179.54	147.86	144.77	156.48	305.33	284.99	284.95
Rasl10b	4.03	0.0	0.0	0.0	0.0	0.08	1.58	12.1	22.86	8.92	0.0	37.93	0.0	0.08	0.0	0.0	0.0	0.0	0.0	16.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.75	0.0	0.0	0.0	0.0	0.0	0.0	0.46	5.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3	0.33	0.0	0.63	1.33	0.0	0.0	0.0	2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.16	0.1	0.08	0.51	1.48	1.19	176.08	191.44	185.21
Rassf2	0.0	0.36	0.03	0.0	0.0	0.0	1.81	5.53	85.72	9.84	10.24	101.75	0.21	15.51	6.69	50.5	0.07	0.0	0.15	0.22	0.09	0.03	1.37	0.15	0.05	0.34	0.07	0.14	0.07	0.13	0.06	0.0	0.06	6.26	60.0	0.13	0.0	0.0	0.09	0.25	0.08	0.12	0.24	0.25	0.06	0.15	4.01	1.37	4.13	1.38	0.06	0.33	0.07	0.03	0.24	0.13	0.08	0.08	0.21	0.1	0.0	0.65	0.68	0.81	2.17	0.47	6.44	6.69	4.76	29.35	29.69	31.74
Rimkla	5.94	0.0	0.0	0.0	29.9	0.0	0.0	0.0	0.0	0.0	0.0	143.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.07	0.0	0.0	0.0	0.0	22.22	13.0	0.0	0.0	15.19	0.0	1.63	0.0	0.0	0.58	0.0	0.0	7.1	0.0	0.0	0.0	30.52	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71	0.41	0.0	1.17	1.68	0.0	10.17	9.06	8.76
Rwdd4a	17.77	0.0	0.0	19.46	0.0	12.46	0.0	4.52	0.0	0.0	0.0	212.28	0.0	16.95	0.0	0.0	0.0	0.0	17.06	0.03	9.98	53.0	0.0	0.0	0.0	9.3	0.0	38.49	18.37	0.14	0.0	0.0	0.0	67.42	0.0	30.99	28.7	0.0	0.0	0.0	5.57	1.97	9.68	0.0	0.0	0.0	0.0	14.89	0.0	12.61	24.62	5.18	6.39	9.78	0.0	0.0	0.0	12.96	0.0	0.0	0.0	0.48	11.33	5.45	10.63	13.68	1.92	7.33	12.8	21.67	21.55	20.37
Scaf11	5.19	15.81	6.37	23.58	0.9	0.34	2.54	8.89	16.92	1.71	4.4	177.89	3.33	29.69	1.0	6.85	15.89	0.0	43.75	1.19	0.22	0.47	10.48	0.37	0.98	2.27	20.06	0.46	0.72	10.1	6.03	16.34	2.48	31.74	0.26	10.32	0.96	12.36	0.71	16.22	35.75	1.1	2.84	4.39	0.35	9.63	0.83	13.43	14.69	12.31	12.83	18.52	0.98	4.62	0.6	12.98	0.4	1.14	0.77	0.17	11.88	34.48	6.98	12.14	8.25	11.67	6.05	7.3	9.25	23.43	21.48	23.93
Scg3	60.59	127.12	24.51	137.6	22.29	244.99	139.19	126.51	74.21	113.1	186.27	873.22	277.92	46.5	87.35	222.75	138.54	0.0	168.25	3.59	140.89	127.26	51.45	65.74	178.73	214.03	59.99	124.5	112.55	63.74	117.96	121.01	119.03	97.96	39.62	89.71	72.36	8.03	186.84	191.9	7.65	72.78	38.46	225.94	143.13	26.09	78.3	173.3	68.09	111.81	49.93	113.63	53.35	52.62	198.74	140.65	188.05	55.02	154.88	67.65	65.61	419.69	282.83	327.29	361.77	383.35	298.32	340.19	327.25	309.22	299.09	298.23
Sez6	0.0	0.0	0.0	0.0	0.0	0.0	6.34	33.7	48.88	61.54	68.34	158.88	0.0	0.0	37.89	37.48	0.0	0.0	0.04	0.12	1.33	0.0	23.85	0.02	0.03	0.0	0.23	0.0	11.21	0.0	0.22	0.68	0.0	50.59	54.59	11.2	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.11	0.0	22.24	22.81	13.45	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.07	119.57	51.34	46.83	39.78	57.13	36.28	42.36	41.01	153.01	159.71	158.47
Sgk3	0.0	0.63	0.19	0.0	0.96	0.44	3.36	1.19	1.96	1.38	1.09	29.83	9.91	2.73	0.28	0.2	1.28	4.13	0.34	0.22	0.17	0.78	0.51	0.88	0.2	0.9	1.05	0.18	0.13	0.08	0.53	0.22	0.2	0.23	0.45	0.64	0.26	0.24	2.25	0.62	0.44	0.34	0.48	0.21	15.6	0.72	0.81	2.51	2.12	10.14	0.47	0.49	0.2	6.35	1.05	0.04	0.59	1.39	0.3	0.39	0.36	0.37	8.93	1.66	4.31	7.62	3.82	3.49	5.05	7.86	7.23	7.75
Sgpp1	54.11	0.42	0.0	44.8	7.99	0.0	0.0	0.0	0.0	31.36	40.17	242.1	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	53.28	16.57	3.11	0.0	0.0	1.63	0.0	0.0	0.0	2.46	76.77	0.79	0.39	0.0	0.0	0.0	8.71	0.0	11.41	0.35	0.0	1.75	0.0	8.65	34.71	0.0	17.62	0.26	35.66	0.0	7.86	8.18	36.77	0.0	1.99	0.0	0.0	0.0	0.0	8.72	0.26	2.23	0.09	5.01	6.7	4.06	34.14	35.26	32.71
Sin3a	0.0	1.05	0.0	8.91	0.0	39.75	0.0	0.0	0.0	54.43	31.68	163.77	0.0	0.9	0.0	61.05	0.04	0.0	0.03	7.67	0.0	31.7	1.67	0.0	0.03	0.05	1.66	0.52	25.23	2.2	0.0	0.0	0.2	30.35	0.44	2.76	31.47	0.66	45.3	0.0	29.08	23.33	24.53	0.0	0.03	0.0	0.0	6.82	2.7	9.82	2.77	0.0	0.0	4.54	2.69	5.36	0.0	6.5	0.0	1.09	0.0	0.0	8.95	5.78	11.02	13.63	9.08	9.38	10.4	19.98	19.5	19.36
Slc1a2	15.05	0.32	4.15	13.1	0.04	0.07	1.05	15.19	159.16	42.04	33.5	111.03	16.29	167.57	61.13	53.66	0.09	0.0	0.05	0.48	0.06	49.18	0.07	0.07	0.02	0.04	0.27	0.25	1.91	8.64	2.47	4.36	0.12	43.51	42.86	0.05	0.03	0.05	0.14	1.02	0.04	0.05	0.11	0.22	0.07	14.02	0.12	242.97	177.26	46.09	0.05	0.16	0.36	14.32	0.05	1.06	0.13	0.05	0.05	0.07	0.21	31.31	308.06	159.04	216.02	231.64	265.55	192.3	194.62	687.16	596.01	766.65
Slc22a5	0.0	23.75	12.29	11.81	0.0	0.0	0.0	32.72	0.0	52.2	0.0	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	2.37	0.0	0.0	2.59	0.0	1.92	0.3	0.0	18.51	0.0	17.14	0.0	5.29	0.0	0.0	0.0	0.0	0.0	0.0	3.56	0.0	0.0	0.0	6.02	6.28	3.04	0.09	3.74	4.75	3.57	11.85	11.88	12.36
Slc39a14	0.38	0.28	0.0	0.08	0.0	17.53	0.75	0.32	1.23	0.28	0.5	43.21	0.71	0.49	0.29	0.95	0.08	0.0	0.15	0.41	0.3	0.04	0.26	0.14	0.39	0.24	0.09	0.0	0.24	0.0	0.0	3.74	17.89	0.0	0.26	0.0	0.05	0.05	0.6	9.88	0.66	0.22	0.23	2.22	0.03	0.1	0.24	3.85	0.76	1.5	0.0	13.71	0.55	0.0	0.45	12.1	0.39	0.08	0.15	22.78	0.0	0.15	0.14	5.46	0.16	0.55	1.56	2.43	1.23	18.79	17.75	17.61
Slc7a1	0.0	0.09	0.0	0.27	0.06	0.0	0.1	0.03	12.97	6.81	27.09	25.69	0.0	0.0	14.74	0.0	10.66	0.0	0.0	0.44	0.02	1.27	0.02	0.0	10.2	0.23	0.57	0.22	1.01	5.16	1.75	0.0	0.0	5.35	2.0	1.29	4.14	1.18	0.08	0.1	0.03	0.0	15.17	0.04	0.0	8.91	0.04	0.07	21.13	0.51	3.62	9.19	0.0	0.0	4.25	9.62	13.4	0.0	3.87	0.05	9.47	13.9	2.74	0.47	6.18	9.01	3.54	3.12	3.53	21.29	20.23	23.14
Slx4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.37	0.0	7.43	3.5	58.55	0.0	0.0	0.0	20.44	0.0	0.0	0.0	10.93	0.38	2.45	9.99	0.0	0.0	30.97	0.7	0.0	15.26	0.0	0.0	0.39	0.0	40.99	0.0	0.0	0.0	0.26	0.0	26.23	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	19.39	4.44	7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.42	0.0	0.0	0.0	6.73	3.99	4.39	7.41	2.02	2.15	3.97	13.25	12.89	12.41
Smap2	58.11	8.24	43.54	0.69	0.0	32.16	37.97	5.7	1.59	41.92	50.13	255.58	0.0	24.68	29.25	59.02	0.0	0.0	30.17	6.2	50.08	30.89	0.05	0.07	51.06	13.43	34.74	0.85	2.01	44.42	0.0	55.71	10.34	6.29	48.06	28.62	14.43	16.17	0.0	30.14	34.35	44.43	0.8	1.41	2.38	4.2	23.08	15.59	58.71	37.57	61.46	0.0	27.39	44.17	6.76	79.26	0.0	0.0	183.4	25.16	3.76	5.34	47.86	56.24	30.78	43.3	42.87	43.54	36.05	140.44	138.22	141.36
Smc4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.27	0.0	0.0	48.45	2.74	0.0	0.0	8.63	0.0	0.0	0.0	0.0	0.02	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.78	0.0	0.0	0.0	0.0	2.04	0.0	4.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45	1.33	0.82	0.21	0.15	0.17	1.1	3.97	3.29	4.52
Snap23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.95	0.92	11.31	0.0	0.0	0.0	0.0	42.88	0.04	0.0	0.0	0.01	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.71	0.14	0.0	45.54	0.0	0.0	17.02	51.66	0.0	0.14	0.0	0.0	11.43	0.0	14.15	17.82	1.44	20.14	11.66	5.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	9.83	10.17	14.83	11.59	13.15	7.43	7.01	14.52	11.21	13.02
Sox5	0.09	0.0	0.02	0.0	0.0	0.03	0.0	12.53	5.21	41.9	17.18	58.6	0.0	12.02	10.81	0.56	0.04	0.0	0.05	0.0	0.01	0.0	0.02	0.03	0.03	0.03	0.04	0.04	0.0	0.0	0.0	0.0	0.0	4.54	1.39	0.0	0.0	0.03	0.03	0.0	0.0	0.04	0.0	0.0	0.01	0.0	0.03	10.41	9.47	2.32	0.0	10.43	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	1.84	12.55	12.91	13.04	23.01	8.66	8.04	7.67	16.24	14.52	15.03
Spata4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.59	0.34	0.68	0.29	0.36	0.79
Speg	0.0	0.0	4.52	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	82.15	0.0	12.13	10.22	0.19	1.91	0.0	0.0	0.12	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.1	1.61	0.0	0.87	0.0	0.0	0.0	0.0	0.03	0.0	0.0	2.9	0.09	0.0	10.8	3.06	4.27	0.0	0.0	7.47	56.16	0.21	0.0	0.0	0.0	0.0	0.02	0.03	0.0	6.73	7.79	7.13	5.79	4.73	5.16	4.67	75.82	81.03	83.08
