	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_6	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_13	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_39	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_5	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_28	Rbp4_tdTpositive_cell_165	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_24	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Slco1a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Smarce1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.36	0.0	0.0	0.16	0.0	0.0	0.0	0.0	22.24	0.23	38.29	0.0	0.0	0.22	0.0	0.0	101.85	0.0	6.04	202.52	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	39.08	52.05	40.0	35.15	37.88	39.87	59.25	46.76	38.16	43.97	39.19	38.86	35.6
Snapc2	0.0	0.0	0.0	0.0	0.0	0.46	62.94	0.0	714.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.84	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	21.46	10.45	5.98	4.51	20.75	2.92	10.63	15.96	16.57	31.9	37.25	37.08
Snord33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.49	6.11	6.7
Snord35a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.96	5.62	0.0	0.0	0.0	5.62	1.76	5.66
Snord96a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.01	0.0	9.09	0.0	7.01	10.58	0.0	24.3	9.73	4.58	5.02
Spag1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	425.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	188.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66	0.0	0.1	1.07	1.68	1.45	0.67	2.68	1.6	0.65	10.31	9.19	9.88
Spice1	66.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	363.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79	0.0	0.0	51.42	0.0	0.0	0.0	0.0	0.0	0.0	2.52	33.37	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	7.23	0.85	22.15	4.13	0.63	5.46	8.31	5.19	8.41	7.86	9.26	7.98
Sqstm1	631.14	278.5	0.0	0.0	138.86	0.34	0.0	0.0	641.43	465.92	0.0	0.0	0.0	389.49	0.31	303.59	138.17	118.49	0.49	0.0	0.0	43.16	0.18	0.0	35.18	0.0	0.0	507.04	50.32	28.39	0.0	0.0	0.0	57.94	113.38	0.0	70.56	45.58	94.68	135.79	92.73	66.32	83.88	101.96	93.45	105.36	475.31	516.54	466.69
Synm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	0.06	0.57	0.0	0.0	0.06	0.0	1.97	0.78	0.08	17.85	18.2	19.38
Syt7	0.0	0.0	0.07	0.0	0.0	0.15	0.0	0.0	0.69	0.12	0.04	0.0	0.0	0.0	0.0	0.11	20.23	0.22	0.22	0.0	0.0	0.0	0.18	0.0	0.0	0.09	0.09	0.18	0.25	0.0	0.0	0.0	0.73	0.0	0.0	0.0	41.81	43.32	41.4	39.91	41.31	29.87	27.69	39.12	31.02	34.42	137.04	129.89	141.23
Taf15	14.47	0.0	9.49	255.94	0.0	0.0	23.67	0.0	285.5	0.0	0.0	0.0	0.0	0.0	0.0	39.05	3.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.9	15.55	7.14	5.5	0.13	11.29	19.42	3.81	3.21	2.9	53.65	49.26	54.28
Tbc1d9b	0.0	0.0	0.0	15.0	0.0	80.84	0.0	0.0	342.62	0.06	0.0	0.09	0.0	0.0	0.0	12.79	2.71	190.63	6.69	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.09	0.15	157.52	0.0	0.0	0.58	0.0	0.0	0.0	0.0	2.18	3.89	3.89	8.03	10.61	4.56	7.83	4.37	3.21	6.35	102.92	106.91	109.57
Tceal1	0.0	788.77	0.0	0.0	0.0	0.0	0.0	0.0	721.95	625.8	0.0	0.0	0.0	0.0	0.0	0.0	129.02	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	139.9	142.4	108.28	111.58	99.61	107.74	70.68	115.77	97.49	97.1	53.8	58.73	49.16
Tfe3	0.0	0.0	0.0	0.0	0.0	0.0	30.01	0.0	268.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.64	7.49	0.1	0.0	0.38	0.0	0.0	0.0	0.0	29.78	0.0	0.0	0.0	0.0	0.0	42.53	0.0	0.0	0.0	0.0	3.94	0.0	0.0	0.18	3.0	5.98	7.65	2.35	4.33	2.95	25.74	25.67	26.64
Tgfb2	1.35	0.0	0.0	0.0	0.0	9.51	0.02	0.0	157.62	0.06	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.93	113.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51	1.7	0.78	0.0	0.0	0.0	1.13	0.32	0.95	8.68	7.93	8.15
Tgoln2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	552.12	0.0	22.05	0.0	0.0	0.0	0.0	0.0	3.21	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	241.59	373.77	4.86	0.0	0.0	0.0	0.0	0.0	0.0	18.83	43.51	23.45	26.25	32.75	3.24	11.05	35.2	24.79	51.26	13.87	10.26	14.95
Thbs3	71.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.67	85.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.72	0.0	0.0	0.0	0.09	0.11	3.48	13.04	13.49	14.85
Thoc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.59	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.85	0.99	0.29	0.87	0.56	1.49	7.34	2.58	6.24	4.5	27.23	27.25	25.86
Timm44	0.0	0.0	0.0	489.68	0.0	24.99	25.59	0.0	713.54	0.0	88.9	0.0	0.0	23.98	0.35	0.0	32.18	0.39	0.0	0.0	0.0	0.0	0.0	0.0	72.94	53.0	16.07	0.15	402.9	0.0	0.0	0.0	46.03	0.0	52.05	0.0	50.01	56.66	41.44	29.81	29.15	25.37	62.4	55.57	59.0	79.64	55.22	59.27	58.76
Tm2d2	0.57	0.0	73.13	0.0	0.0	0.0	0.0	1297.55	1729.02	0.0	0.0	0.0	952.73	0.0	0.49	0.0	269.21	0.0	1.03	0.0	0.0	0.51	0.28	0.53	0.0	0.0	0.0	467.35	0.0	0.0	1016.66	0.0	0.0	911.4	0.0	128.06	390.38	418.07	476.34	351.67	447.4	358.99	348.43	306.22	342.82	330.4	82.15	89.33	82.95
Tmem218	0.0	1570.7	0.47	0.0	0.0	1032.48	0.0	0.0	1943.02	1487.63	0.0	0.0	1004.24	0.0	0.0	0.0	52.9	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	610.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4	28.4	26.49	56.37	64.35	39.7	48.09	38.27	32.55	21.2	32.18	30.22	27.6
Tmem38a	0.0	778.86	0.0	0.0	0.0	507.67	0.0	0.47	737.58	587.91	0.0	0.0	0.0	0.4	0.0	0.65	85.63	0.0	0.31	0.0	0.0	0.62	0.0	0.0	0.09	0.0	0.0	0.49	0.0	0.0	0.0	257.77	0.0	0.0	0.0	0.61	264.46	210.2	264.81	306.74	235.21	186.38	218.32	212.66	233.88	219.13	118.0	125.7	118.34
Tmem53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	696.44	2.3	0.0	669.45	0.0	0.0	0.0	0.0	7.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.62	0.0	0.0	0.0	5.55	2.26	13.29	4.36	3.1	4.72
Top3b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.0	0.0	9.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.11	14.94	8.66	25.55	0.09	2.66	6.98	9.56	6.62	5.98	27.59	25.64	26.58
Tpd52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	542.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.52	0.6	0.43	0.0	0.0	0.29	0.31	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.13	111.6	97.96	106.56	154.53	138.93	102.05	153.3	124.03	124.19	74.98	75.6	75.45
Trpc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	2.13	0.48	1.69	1.85	0.09	13.26	12.51	12.86
Ttc32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	603.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	543.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.12	0.0	0.0	0.0	0.0	0.31	1.43	5.05	4.85	4.38	4.58
Ttc7b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.46	18.1	7.52	14.3	16.27	22.27	27.87	11.77	17.64	21.89	140.14	145.7	148.07
Ttll12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	4.47	0.0	3.71	0.0	4.82	0.31	1.42	2.27	1.65	10.33	11.32	9.88
Uhrf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.49	0.0	0.0	0.0	0.0	0.0	41.31	0.0	16.9	0.0	0.0	0.0	0.0	12.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.61	55.64	0.0	6.44	17.22	12.54	2.02	17.13	0.14	8.72	12.84	10.65	8.79	35.57	35.25	33.15
Usp29	0.0	0.0	0.0	0.19	0.0	0.12	0.0	0.2	1.32	0.29	0.82	0.22	0.59	0.13	0.09	0.0	5.1	0.6	0.45	0.0	0.0	0.22	0.0	0.19	0.09	0.0	0.49	0.24	0.0	0.0	0.54	0.14	0.18	0.08	0.0	0.15	27.81	6.76	16.43	23.01	8.37	16.29	9.55	8.4	10.02	9.29	14.49	13.37	14.7
Wdr45l	0.0	0.15	21.07	0.2	0.0	0.0	0.0	0.0	682.02	0.13	0.0	0.0	0.0	0.0	124.16	0.29	35.19	0.29	0.69	0.0	0.0	0.55	0.15	0.28	15.3	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	124.34	0.0	0.0	50.28	29.92	77.39	57.37	79.21	40.03	68.55	44.97	53.19	56.94	62.91	64.93	67.27
Wdr5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	177.38	0.0	0.0	0.0	0.0	0.0	0.42	0.0	9.8	0.0	0.11	0.0	0.0	0.0	0.12	5.85	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.68	22.16	3.49	11.94	0.0	11.45	3.74	11.39	4.85	7.29	24.86	23.99	21.86
Wdr67	0.0	0.0	0.0	0.0	0.0	0.0	84.89	0.0	105.54	0.0	0.0	0.0	0.0	0.0	0.0	7.94	2.93	0.0	0.0	0.0	0.0	0.0	0.0	21.81	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	1.97	0.72	3.96	6.06	5.57	5.86
Xpo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57	0.2	0.19	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54	1.57	1.84	2.07	3.12	1.78	1.48	3.09	2.87	2.1	6.75	7.46	7.35
Yars	0.0	0.0	0.16	0.32	0.0	0.0	0.0	0.0	584.61	0.1	0.0	0.16	0.0	0.0	0.0	73.79	23.49	0.0	0.11	0.0	0.0	0.67	253.11	0.0	0.06	0.0	0.16	0.45	0.5	0.0	166.28	0.0	0.0	0.0	0.0	0.0	57.24	81.85	65.28	58.93	53.72	60.82	71.37	81.5	79.69	82.44	82.18	85.23	83.34
Zfml	0.0	23.13	177.55	0.42	0.0	0.0	15.51	0.0	469.51	55.38	0.0	37.04	50.92	131.5	0.28	0.0	22.49	0.0	0.07	0.0	0.27	0.44	0.0	91.73	2.59	0.27	0.21	23.53	0.49	0.0	0.0	0.23	0.15	0.14	0.0	47.7	37.31	44.7	63.32	44.09	31.96	56.67	34.15	50.67	37.63	32.5	40.22	32.48	41.11
Zfp605	14.19	8.02	14.49	3.38	4.82	82.56	6.15	70.78	558.78	16.65	17.75	5.25	42.04	18.61	12.36	13.75	17.33	10.95	13.88	17.42	4.95	18.7	2.19	13.68	2.29	17.27	45.9	25.81	17.83	2.71	2.21	13.57	8.61	11.38	7.25	0.93	8.41	12.4	13.19	21.51	19.66	34.98	20.29	15.78	14.61	20.23	10.33	7.53	10.36
Zfp866	0.49	0.0	0.39	0.6	0.95	1.16	0.86	0.45	386.21	0.69	0.56	0.5	1.53	0.47	0.65	1.19	3.06	3.24	0.6	0.89	1.19	0.26	0.47	0.0	0.48	1.95	0.88	0.85	104.11	0.16	0.18	0.25	0.27	0.36	0.0	0.58	17.15	22.83	14.42	6.05	7.6	8.34	1.29	10.26	6.17	10.9	13.06	12.73	12.79
Zfp932	373.11	0.0	145.73	245.29	227.19	32.09	280.95	0.47	1028.85	157.75	208.41	987.46	126.53	84.4	1.49	0.66	167.95	0.33	0.1	0.0	0.0	0.0	0.51	672.11	84.45	0.0	17.33	994.15	205.37	0.96	0.7	0.0	3.94	0.0	0.0	0.0	170.38	230.35	172.69	179.72	211.08	196.51	159.47	293.87	177.64	146.16	51.33	39.72	49.44
