	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Scaf1	1.67	4.55	0.0	0.0	0.0	0.0	0.09	0.0	19.92	0.24	0.0	0.0	0.0	0.0	0.51	0.02	0.28	0.0	1.39	1.16	3.73	1.92	12.96	10.39	0.08	2.21	0.12	9.8	0.08	0.06	0.05	0.0	6.18	2.73	1.65	2.68	7.28	0.0	1.35	0.0	0.38	2.57	5.79	0.68	0.05	7.22	8.43	4.13	2.2	2.56	82.36	94.79	90.63
Sept5	35.73	51.99	0.0	0.0	0.0	0.0	11.93	75.99	103.59	60.74	0.0	0.0	0.0	0.0	0.0	0.19	2.48	11.33	0.0	30.03	35.07	0.0	34.02	2.83	35.06	41.79	1.74	2.04	56.94	14.3	53.12	29.73	0.0	57.92	11.44	29.07	0.0	17.86	54.96	1.76	14.05	5.9	13.48	51.24	9.61	19.26	20.84	51.93	50.67	69.27	835.64	844.16	829.9
Setd5	21.02	5.75	0.0	0.0	0.0	0.0	0.2	3.02	18.62	20.67	0.0	0.0	0.0	5.73	0.15	0.91	0.04	0.15	4.37	0.05	0.0	0.85	13.78	18.43	14.12	0.0	0.0	1.79	0.0	2.38	0.0	0.0	0.0	5.06	0.0	0.89	0.0	12.05	4.55	0.09	0.0	2.37	3.94	0.0	0.0	0.05	0.98	1.43	4.42	3.39	60.53	54.49	54.81
Sh3gl2	124.68	108.73	0.35	1.03	0.27	0.0	25.8	75.7	460.28	67.46	0.0	0.13	0.26	0.0	45.22	44.79	2.7	23.52	85.72	55.39	96.31	71.02	80.78	59.02	102.8	153.72	84.06	131.53	55.23	65.83	68.27	0.09	63.23	40.43	147.57	20.03	3.26	101.81	161.77	71.04	44.92	76.64	103.96	43.25	93.04	8.12	65.02	426.06	274.48	414.06	300.58	299.58	283.65
Slc12a6	35.25	24.24	0.0	0.0	0.07	0.0	30.56	168.33	259.63	25.01	0.0	0.0	0.0	0.0	17.02	13.41	0.89	24.27	93.57	0.94	25.38	36.32	43.86	10.16	20.94	30.43	0.14	49.99	13.67	41.67	11.85	8.48	32.78	14.54	18.42	31.74	12.85	13.35	52.91	16.11	19.03	0.06	11.54	39.35	27.79	28.26	73.77	41.33	22.2	20.41	67.01	61.6	69.11
Slc25a32	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	49.22	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.99	0.0	0.0	0.0	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	2.53	0.59	8.87	8.67	7.64
Slc44a1	10.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.98	0.0	0.0	0.0	0.0	0.0	2.08	0.0	0.0	0.8	1.05	0.04	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.98	2.75	0.46	0.0	0.0	2.08	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.97	5.28	1.34	53.42	53.04	59.96
Slc9a6	24.64	26.63	0.0	0.0	0.0	0.0	0.0	34.83	241.41	0.0	0.0	0.0	0.0	0.0	77.22	62.55	78.91	90.31	47.09	18.61	6.8	0.25	30.15	40.73	15.09	105.6	20.23	15.67	46.08	1.79	22.96	2.04	23.75	18.09	1.51	29.32	23.48	45.04	12.31	28.05	70.3	0.0	47.08	28.4	32.35	31.94	43.75	23.26	12.86	10.98	78.9	77.05	75.88
Spire1	17.32	50.87	0.0	0.0	0.0	0.0	74.38	78.54	78.78	10.79	0.0	0.0	0.0	0.0	0.03	9.85	0.02	21.5	31.55	0.02	3.51	1.48	34.85	25.2	6.65	6.64	0.0	39.99	33.1	24.75	1.98	2.55	0.16	1.82	0.0	0.06	1.93	0.26	30.18	10.26	18.52	4.68	4.33	0.43	27.68	7.46	3.4	26.81	38.49	22.41	93.54	91.17	91.85
Stag2	4.57	13.52	0.0	0.0	0.0	0.0	0.0	6.1	85.31	0.0	0.0	0.0	0.0	0.0	0.0	2.48	30.03	0.03	0.0	0.04	0.0	0.05	8.02	0.65	0.0	44.77	0.0	38.47	0.05	11.78	4.29	47.67	1.04	18.44	2.6	0.25	32.43	11.07	4.22	0.0	11.67	0.0	0.0	4.06	25.13	23.31	0.0	21.54	17.51	8.32	27.89	25.9	28.12
Stx16	1.73	4.45	0.0	0.0	0.0	0.0	0.26	0.24	139.58	0.28	0.0	0.0	0.0	0.0	0.0	0.07	0.68	24.35	0.22	7.18	0.13	0.61	26.2	3.73	21.52	1.82	1.75	0.24	20.59	13.05	0.17	10.52	3.73	1.81	1.26	0.16	0.15	1.06	9.77	0.7	1.73	0.18	0.79	0.36	0.0	6.17	0.07	12.73	9.89	7.34	62.49	61.21	64.02
Sycp2	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	10.55	1.31	0.0	0.0	0.0	0.0	0.0	5.4	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.78	0.0	0.37	0.0	1.53	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.88	0.6	0.95	0.52	1.14
Taf4a	0.0	1.23	0.0	0.0	0.0	4.12	0.0	32.0	35.93	0.11	0.0	0.0	0.0	0.0	7.77	3.44	0.0	0.0	0.0	0.0	0.0	0.0	6.86	13.81	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04	1.58	3.55	1.64	13.76	14.03	12.91
Tfb2m	0.26	0.0	0.0	0.0	0.16	0.0	0.0	0.5	204.01	0.0	0.0	0.0	0.0	0.0	17.8	6.12	0.05	0.96	0.04	0.13	63.5	64.35	48.75	61.27	0.0	0.0	31.96	27.5	9.51	0.0	0.26	1.25	0.73	0.0	51.21	35.78	10.39	27.29	7.44	40.82	12.93	0.0	49.98	23.63	1.06	0.0	0.07	41.53	37.76	30.43	25.57	28.17	25.53
Tmcc1	10.96	27.7	0.0	0.0	0.07	0.0	41.22	0.0	60.58	0.0	0.0	0.0	0.0	1.3	0.58	0.0	7.68	0.66	0.0	0.02	12.34	6.27	0.43	11.7	6.73	25.49	9.54	21.69	0.0	1.49	6.01	18.8	0.0	0.0	0.43	0.1	0.0	0.0	11.29	2.23	6.73	0.0	19.08	0.15	27.86	13.86	0.0	11.4	8.66	9.49	39.25	38.54	38.8
Tmem158	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	17.19	0.0	0.0	0.0	0.0	0.0	4.96	0.0	0.0	3.69	0.0	0.0	0.0	0.0	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.85	0.0	0.0	3.09	0.0	0.0	0.0	4.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15	3.49	2.23	75.2	98.12	88.24
Tmem181b-ps	50.64	44.65	22.27	0.0	0.08	0.0	114.87	59.96	187.16	4.57	3.56	0.1	0.0	0.0	30.96	64.45	8.48	20.35	33.28	18.06	51.44	55.6	56.28	44.62	18.69	26.21	20.39	45.02	7.33	57.69	1.98	0.1	37.55	7.99	35.56	37.31	18.23	65.89	44.33	24.55	29.06	20.22	15.34	40.59	62.76	23.89	8.44	61.06	70.0	39.73	112.88	105.35	113.69
Tnnc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.61	0.0	0.0	0.0	13.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.43	0.0	0.0	0.0	44.38	30.84	0.0	0.0	0.0	0.0	2.72	2.11	19.43	15.97	19.46
Trerf1	0.84	1.89	0.0	0.0	0.0	0.0	0.0	0.0	25.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.97	0.0	0.0	13.1	1.67	0.0	0.9	0.29	0.07	0.3	2.42	0.0	4.48	13.87	0.82	2.11	0.0	1.13	7.56	8.42	0.0	0.0	0.0	11.52	1.27	2.07	0.0	0.0	5.38	1.5	2.35	22.57	21.09	25.93
Trim35	10.54	0.0	0.0	0.0	0.0	0.0	56.62	54.04	394.44	71.21	0.0	0.0	0.0	0.0	0.94	0.04	0.06	51.69	38.78	23.88	17.64	0.0	26.78	61.66	52.91	0.0	41.06	25.81	19.07	14.5	2.53	0.0	0.07	0.11	63.24	0.08	39.0	1.13	23.06	0.15	34.09	1.73	0.08	24.52	20.74	2.84	39.65	14.09	12.24	19.5	118.1	120.37	119.12
Ubxn11	0.0	22.92	0.0	0.0	0.0	0.0	0.0	0.0	62.11	0.0	0.0	0.0	0.0	0.0	0.0	36.02	22.52	0.0	0.0	19.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.08	0.0	0.0	0.0	0.0	0.0	0.0	73.59	0.0	0.0	10.18	10.67	0.0	0.0	0.24	0.0	0.0	28.5	0.0	0.0	6.26	11.66	10.29	11.38	12.23	12.92
Vars2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.1	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	3.71	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	13.82	0.0	0.0	1.74	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.6	0.93	15.61	16.2	13.74
Wdr17	50.73	14.63	0.0	0.0	0.0	0.0	2.17	0.0	157.73	5.92	0.0	0.0	0.0	0.0	13.69	9.36	0.0	24.93	0.0	6.16	0.0	0.0	0.2	0.29	0.0	0.0	0.0	0.0	0.0	0.06	63.38	0.0	3.49	0.0	0.0	0.0	0.07	0.0	4.64	15.58	0.0	0.08	55.54	0.27	48.16	56.27	0.0	19.09	20.12	14.75	25.12	22.97	22.66
Xkr4	0.0	0.0	0.0	0.34	0.11	0.0	0.0	0.0	115.78	0.0	0.0	0.0	0.0	0.0	14.63	0.11	0.0	0.01	10.4	0.24	0.0	0.0	0.0	11.2	16.3	0.07	0.0	3.6	0.0	0.0	0.0	1.92	0.07	0.0	0.0	42.15	0.0	24.72	1.7	0.0	0.06	2.64	0.0	0.06	38.23	28.73	0.05	2.37	3.35	5.52	18.96	14.85	19.92
Xpr1	9.58	14.8	0.0	0.0	0.0	0.0	21.18	10.57	114.17	17.13	0.0	0.0	0.0	0.0	0.56	1.09	19.28	0.02	0.54	27.28	24.45	24.09	10.72	6.74	0.05	29.77	26.84	3.02	13.46	8.69	0.0	0.06	0.59	17.5	0.54	0.26	6.7	1.59	14.67	7.68	0.0	9.63	31.74	16.62	25.5	20.12	8.16	14.61	11.37	12.04	53.69	46.36	51.42
Ythdf2	48.95	83.09	0.0	0.0	0.0	0.0	59.37	30.78	147.48	13.49	0.0	0.11	0.09	0.0	7.99	67.67	12.7	41.64	31.72	51.2	24.27	35.26	55.25	45.07	5.55	20.91	14.52	56.74	14.46	13.67	16.99	48.38	17.76	26.17	50.21	22.71	84.04	20.39	83.1	72.89	44.18	40.54	39.74	29.12	58.16	27.14	70.1	44.19	82.51	67.16	21.21	20.99	19.56
Yy1	0.0	15.67	0.0	0.0	0.0	0.0	0.0	31.3	58.66	46.75	0.0	0.0	0.0	0.0	8.85	0.03	0.0	41.38	0.0	0.0	1.56	33.34	3.93	14.69	0.0	10.69	0.0	0.0	8.64	0.0	0.0	0.0	36.32	0.27	0.0	0.0	0.0	0.0	18.9	0.0	10.18	0.0	1.39	0.0	0.0	0.0	2.69	13.01	4.0	4.35	46.68	50.96	49.38
Zfp106	15.53	28.09	0.0	0.0	0.0	0.0	1.2	39.39	89.13	25.24	179.29	0.0	0.0	0.0	8.1	29.9	0.31	1.59	6.3	55.94	6.27	41.94	16.5	1.6	0.45	13.92	16.22	13.42	7.16	1.25	1.27	0.0	15.78	17.91	0.75	3.51	3.17	29.14	14.47	2.67	12.52	11.96	13.73	33.23	8.59	14.37	8.1	9.31	17.95	10.71	81.46	75.11	80.47
Zfp120	1.04	23.31	0.0	0.0	0.0	294.91	12.99	62.63	353.81	2.19	0.45	6.33	0.09	479.03	0.22	14.81	17.1	0.25	1.18	0.16	31.38	39.83	0.21	0.71	23.71	0.14	3.52	0.0	2.13	4.69	0.0	0.84	1.02	0.0	32.72	0.0	0.49	0.0	19.0	0.0	37.34	1.12	34.23	5.12	2.73	0.98	1.05	64.31	32.29	26.16	8.79	6.57	7.86
Zfp438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	64.43	29.24	0.0	0.24	0.26	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	2.28	0.0	66.06	0.0	1.88	0.1	1.39	4.11	3.52	3.7	3.36
Zfp758	0.9	0.0	0.0	0.0	0.0	0.0	0.06	0.0	247.23	60.64	0.0	0.0	0.0	2.89	0.0	0.8	0.0	0.37	0.07	25.97	70.91	0.0	1.2	0.0	0.0	34.1	0.0	0.0	0.0	35.84	0.0	0.0	0.0	28.74	2.71	0.0	0.0	0.0	7.45	25.39	0.0	0.0	13.19	0.0	3.58	0.0	46.32	21.04	27.4	8.64	6.47	4.13	5.04
