	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Mtr	0.0	29.07	0.0	0.0	0.0	0.0	0.0	0.61	18.49	0.0	0.0	0.0	0.0	54.14	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.11	3.08	0.13	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.31	5.94	4.37	0.06	3.44	2.98	0.32	0.34	1.26	5.77	1.58	3.04	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	8.43	8.7
Myl12a	0.0	20.14	1.33	0.26	0.0	0.0	0.0	0.0	35.83	0.0	23.83	0.0	0.0	46.13	69.39	0.0	0.0	0.0	0.0	0.0	0.25	0.14	0.0	21.44	5.13	40.31	31.62	0.0	0.11	0.36	0.0	0.0	0.0	0.0	8.28	13.51	4.0	23.27	25.41	18.02	4.53	34.15	15.3	18.35	16.64	19.31	18.82	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	69.11	0.0	23.8	21.36
Nalcn	13.21	11.91	0.0	0.12	0.0	0.0	0.0	27.78	41.79	0.65	3.35	41.72	0.0	76.43	6.61	23.96	12.02	4.84	0.55	26.54	0.23	54.58	158.74	19.27	21.02	8.5	17.59	4.64	0.66	0.0	0.26	0.12	29.0	0.08	20.42	5.51	13.97	2.35	12.51	17.1	36.0	4.11	2.23	15.47	13.4	11.74	14.59	0.0	0.04	46.46	0.0	0.0	0.51	72.1	33.89	28.94	0.0	1.22	40.26	54.76	50.51
Ndnl2	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	10.03	3.65	0.0	51.84	5.11	0.0	0.0	0.0	0.0	11.87	0.0	0.15	0.0	0.0	13.87	21.17	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.87	0.0	6.15	13.73	1.74	4.19	0.0	7.39	0.91	7.55	5.7	5.56	5.61	0.0	0.0	0.0	0.0	10.02	81.28	0.0	0.0	20.11	0.0	0.0	0.0	37.88	41.26
Ndst3	0.0	0.71	0.14	0.09	0.0	0.0	26.54	0.0	3.19	0.0	0.04	0.0	2.73	137.38	0.0	1.52	3.2	0.0	0.0	0.0	0.0	0.17	0.0	11.65	15.83	1.16	10.24	0.0	0.0	2.39	2.78	5.0	0.0	39.87	12.56	9.74	24.47	14.44	14.77	12.5	6.44	5.32	5.04	2.98	16.83	6.09	10.04	0.0	7.59	0.09	1.2	0.0	0.11	0.05	0.0	13.57	13.8	0.05	0.04	16.74	16.62
Nom1	2.82	1.95	5.29	1.34	8.15	1.37	36.62	3.23	2.62	6.04	51.59	29.35	11.88	69.07	0.33	1.32	1.13	0.0	0.52	10.02	3.93	53.31	0.11	1.49	3.26	7.08	4.85	0.82	2.75	15.96	52.21	25.45	59.05	2.04	7.07	16.95	8.57	11.2	7.07	8.31	1.72	9.04	2.89	9.07	7.25	3.57	5.07	17.97	2.2	3.5	19.03	0.85	1.27	2.46	2.02	4.39	2.34	7.06	18.69	20.01	20.55
Npr3	0.06	0.0	0.0	0.0	0.0	0.0	0.11	0.04	0.0	0.0	0.0	0.06	0.0	4.75	0.0	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.0	1.54	2.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.96	0.0	0.0	6.38	5.73	0.2	2.79	0.0	0.0	1.07	2.53	0.23	0.81	1.52	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.82	0.0	0.0	0.0	6.38	6.24
Nt5c2	0.0	0.06	34.51	0.0	0.0	0.0	0.0	0.32	39.79	0.0	0.05	0.0	0.0	36.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.07	6.46	0.27	0.2	0.0	0.13	17.61	0.16	0.0	0.0	0.0	23.28	1.04	0.44	5.69	8.82	0.16	10.29	0.8	7.46	1.49	8.88	5.99	6.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.06	0.06	43.72	41.79
Ntsr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.16	0.0	0.0	0.0	0.0	0.0	61.89	0.0	0.3	0.0	0.0	3.81	0.52	3.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.27	2.04	13.93	10.54	4.49	1.16	9.49	0.63	1.25	0.91	2.27	1.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.27	0.0	7.38	5.49
P2rx6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.27	0.0	0.0	0.0	1.4	0.0	4.67	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.16	5.79
Paqr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.7	0.0	60.42	0.0	22.27	4.08	0.0	0.0	0.0	0.0	29.49	0.0	0.0	1.15	0.0	0.0	0.0	0.0	11.8	0.0	0.0	0.0	0.0	0.79	0.0	0.21	2.35	0.24	2.23	2.99	0.0	0.0	0.73	1.77	2.3	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.48	14.72
Pcdhga4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.07	0.0	13.73	2.13	3.12	0.0	0.16	7.63	7.06	2.05	2.83	4.45	3.65	0.0	0.0	0.0	4.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.78	12.64
Pfkfb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	15.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	0.0	1.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92	0.66
Pgd	0.0	0.0	0.5	5.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.78	92.65	81.07	0.0	0.46	0.0	0.0	0.0	0.51	0.19	158.08	0.0	0.12	1.4	1.52	0.07	0.0	0.67	0.28	1.41	0.0	0.0	0.0	6.42	10.03	20.12	7.67	13.59	25.21	6.74	3.73	12.38	14.38	5.93	4.98	14.59	0.0	0.0	0.0	0.22	0.0	0.0	2.71	0.0	33.95	1.02	98.22	1.01	28.22	28.99
Pgf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.33	0.0	0.0	0.0	0.0	0.16	80.16	0.0	0.0	0.0	25.71	0.0	0.09	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.8	5.42	7.27	0.0	7.97	8.37	20.23	21.75	15.37	17.79	7.58	8.55	0.35	0.0	0.0	0.0	0.0	0.0	3.42	0.0	0.0	0.0	0.0	0.0	2.16	1.77
Phf8	3.19	0.0	0.1	0.0	0.0	0.0	11.97	0.0	3.87	0.05	0.0	1.13	0.0	59.8	3.58	0.0	7.43	0.0	0.0	0.0	0.13	0.11	62.55	1.65	3.46	0.89	0.09	0.0	0.0	0.28	61.99	1.96	14.27	0.47	3.36	7.73	3.59	6.7	11.8	12.72	12.42	14.78	16.03	5.71	5.33	2.61	4.05	97.13	2.34	0.0	0.0	0.75	0.94	1.97	96.62	56.13	2.1	0.0	2.22	12.95	13.57
Pip4k2a	0.0	0.0	0.0	0.0	39.1	0.0	17.55	0.0	0.0	0.0	0.0	3.52	0.0	36.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.09	14.85	0.34	0.04	0.0	252.77	0.0	0.0	0.0	2.36	42.37	20.46	20.74	6.14	16.25	21.8	33.2	18.84	6.07	7.36	13.83	19.25	12.73	21.81	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.5	0.0	0.06	71.54	66.65
Plcb4	111.87	0.0	233.98	85.57	0.0	0.68	0.0	40.76	75.75	0.0	117.2	105.31	1.18	129.95	24.1	13.03	58.94	6.58	0.0	0.0	50.16	155.39	0.59	5.04	9.97	0.24	6.73	0.0	9.16	86.89	5.72	94.61	0.34	4.78	19.57	22.46	35.69	31.9	29.39	54.53	30.03	23.07	39.62	13.25	34.07	39.95	21.23	0.0	0.0	88.26	24.03	5.1	45.28	0.13	0.21	0.66	89.12	0.0	0.9	30.97	33.02
Plk1s1	0.0	0.1	0.17	0.0	0.71	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	101.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.11	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.67	0.47	0.67	0.47	0.0	0.0	0.36	12.24	0.18	2.23	2.74	3.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	12.53	12.84
Pof1b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.44	0.0	0.0	0.0	0.0	0.33	0.42
Pram1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.25	0.0	0.13	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57	2.92
Prss36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6	0.0	0.0	49.92	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	0.0	6.52	4.56	10.78	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	2.1	5.45	3.56	6.5	4.11	0.09	0.0	4.34	1.03	2.65	3.14	5.32	25.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.93	0.0	0.0	4.73	4.32
Ptgr2	0.0	0.0	0.12	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	1.67	0.0	53.74	0.0	0.47	15.86	11.46	33.18	0.53	0.0	0.0	0.0	0.2	0.0	0.0	0.27	12.77	8.63	30.03	5.73	18.34	30.21	21.53	28.77	26.57	16.24	15.91	26.31	23.47	44.09	0.0	0.0	0.0	0.0	0.0	0.08	0.0	2.85	0.1	0.16	0.15	38.46	35.17
Ptprc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	1.95
Ptpru	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.89	0.06	0.0	0.0	0.1	0.0	0.0	0.0	127.82	0.0	0.0	2.57	1.35	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.36	6.05	8.59	6.81	0.24	11.0	4.15	5.89	14.14	7.82	5.98	7.28	5.33	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	2.45	0.0	3.02	23.57	26.08
Pus7	0.26	0.62	0.35	0.13	0.0	0.47	8.41	0.0	0.82	0.0	0.24	6.1	1.92	60.04	0.11	0.1	0.47	0.16	0.0	0.21	0.39	0.0	0.0	0.74	5.78	1.68	0.13	0.08	0.39	0.18	0.55	53.12	0.57	3.95	10.9	3.13	7.56	1.73	1.63	5.87	1.64	0.85	5.28	9.29	2.24	3.83	6.69	2.06	0.1	6.47	0.0	0.64	0.11	0.24	0.35	0.27	37.99	0.07	0.52	15.45	14.87
Rassf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.93	0.59	0.0	0.0	157.23	230.73	161.85	105.6	120.85	83.48	0.0	0.0	50.39	0.46	0.21	157.8	31.8	0.6	0.79	0.0	0.1	0.0	0.37	84.22	0.0	101.33	0.0	69.55	37.41	59.23	71.96	32.3	33.82	44.54	24.11	74.82	51.45	48.52	44.29	0.31	0.0	0.0	0.0	211.99	0.0	0.0	0.0	5.16	0.0	0.0	6.01	19.73	16.18
Raver2	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.05	5.22	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.56	0.0	0.0	0.0	15.78	14.76
Rbpjl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.36	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.54
Rcl1	0.0	0.0	4.59	0.0	0.0	0.0	0.0	0.0	0.25	1.13	0.0	0.0	0.22	107.91	0.18	0.0	72.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.47	0.0	0.0	0.28	8.16	0.0	0.0	0.0	0.0	0.0	12.15	1.61	32.67	5.16	1.14	18.51	30.1	2.17	9.0	7.43	4.52	8.11	13.63	0.0	0.0	0.0	0.94	0.0	58.67	117.72	0.0	0.0	0.0	0.0	55.45	18.35	15.53
Rell2	0.0	0.0	0.0	39.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.68	9.8	0.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.54	0.65	4.03	0.0	0.19	1.75	0.0	0.0	0.0	0.0	4.47	4.13	13.3	1.57	4.45	2.06	7.23	6.74	1.56	2.75	4.26	2.94	8.75	0.31	0.0	0.0	17.8	0.0	3.31	41.61	0.0	12.17	0.0	0.0	0.13	132.63	147.42
Rg9mtd1	0.0	0.0	0.0	18.69	0.0	0.0	2.07	27.35	8.05	0.0	0.0	0.0	0.0	201.58	7.74	0.0	34.32	22.32	0.68	0.0	0.0	81.79	0.2	0.0	7.51	96.51	0.9	189.4	0.18	0.0	124.72	0.0	0.0	0.0	1.36	29.69	48.37	31.33	11.47	22.5	35.66	17.94	8.24	37.33	16.66	20.16	22.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.39	11.72
Rhebl1	0.0	107.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.51	0.0	140.05	107.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8	50.45	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	25.58	45.83	28.38	10.24	29.22	11.7	20.68	44.62	48.97	91.15	31.37	43.73	27.66	14.87	0.0	0.0	0.0	360.51	0.0	0.0	0.0	83.0	0.0	0.0	128.4	8.11	8.03
Rnf103	0.0	0.06	49.82	2.38	0.0	15.17	0.92	15.15	0.0	0.0	27.22	0.0	0.97	93.42	36.75	51.68	0.0	1.64	0.0	0.0	0.0	9.03	0.0	0.0	7.92	60.88	79.09	0.0	0.05	0.0	67.67	0.26	0.0	0.18	15.06	12.9	15.02	9.22	2.99	6.23	5.43	6.77	11.45	1.99	8.74	8.3	8.38	0.0	0.0	0.0	45.08	0.54	0.0	78.66	0.0	3.82	0.1	13.86	0.14	42.32	39.05
Rnf25	0.8	52.55	0.0	0.0	0.0	0.0	87.62	0.0	0.31	0.0	0.0	0.0	151.55	204.26	0.0	0.0	0.0	0.0	0.0	141.82	0.0	0.0	0.0	0.0	18.45	5.56	0.52	0.0	0.11	0.0	0.0	0.0	83.18	0.0	30.91	16.33	22.66	20.46	12.84	12.85	10.11	14.97	0.0	20.76	9.69	6.89	3.84	4.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.44	0.0	0.0	0.0	47.16	46.62
Rragb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.21	0.0	148.77	0.0	0.0	30.07	0.14	0.0	0.17	40.4	0.0	0.0	0.0	0.0	25.38	5.83	1.94	0.32	0.33	0.0	0.0	0.0	12.09	0.0	0.0	0.0	2.34	7.25	9.28	12.15	7.88	3.83	6.82	1.82	10.43	17.13	12.48	1.06	2.9	0.0	0.12	0.0	0.0	0.0	4.95	0.11	0.0	0.0	0.0	1.69	0.0	79.77	71.85
Sap30	0.0	0.0	0.65	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	25.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.48	0.13	0.0	1.17	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	1.04	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	0.0	0.0	6.29	6.34
Sdk2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.63	0.0	0.54	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	0.21	0.05	0.17	0.35	1.35	0.3	0.19	0.22	1.0	1.2	0.1	0.16	0.0	0.0	0.0	0.0	8.88	0.0	0.0	0.0	0.0	0.05	0.0	7.71	8.94	9.41
Sept3	1.27	27.63	8.66	0.47	0.21	0.66	30.49	12.2	99.04	2.67	74.7	43.47	97.0	151.33	33.28	119.53	3.15	11.02	8.79	71.02	3.37	57.9	194.43	159.3	35.96	55.29	28.6	151.53	13.5	78.63	45.26	80.85	36.17	1.01	72.19	54.89	102.14	127.99	114.95	117.75	111.96	117.74	106.67	137.83	101.63	121.26	103.32	253.15	27.19	79.24	162.8	1.39	72.26	39.67	82.27	26.05	70.77	34.18	9.34	270.67	265.53
Sesn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.25	0.0	0.0	0.0	0.0	0.0	48.02	0.0	0.09	0.0	8.35	2.05	2.27	6.21	0.0	1.91	0.0	43.64	0.0	0.0	0.0	1.32	1.0	0.0	1.07	5.51	0.0	0.94	0.6	0.46	0.18	2.64	3.69	0.97	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.14	0.0	0.0	0.0	66.26	62.37
Setd1a	0.0	0.0	25.65	16.78	0.0	0.0	0.0	0.2	0.47	0.0	0.0	0.0	0.0	37.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.93	0.0	0.0	2.12	0.49	0.23	0.0	0.03	0.0	0.0	0.14	7.81	0.0	1.36	1.43	3.57	1.63	1.52	3.3	1.53	2.84	1.73	1.88	0.75	2.35	0.75	0.18	22.36	0.0	0.05	0.0	0.0	14.37	0.0	1.52	0.0	0.0	0.04	31.85	33.92
Setd4	0.0	0.0	51.46	0.0	0.0	0.0	0.0	0.0	1.51	0.0	0.0	0.0	0.0	66.2	33.34	0.0	0.0	0.0	0.0	0.19	10.99	19.89	0.0	0.14	11.61	0.08	2.98	0.0	0.0	5.75	0.0	0.0	0.0	11.67	6.49	30.94	30.14	13.22	14.79	19.11	2.07	18.15	6.43	1.64	9.42	5.72	15.19	10.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.49	0.0	0.0	11.37	8.7	8.51
Sh3gl2	382.27	72.87	150.78	177.07	0.0	89.73	112.09	1.49	68.64	178.61	357.45	247.34	238.88	254.12	259.86	37.14	126.09	25.72	30.76	69.65	140.82	546.8	0.0	101.2	161.77	153.34	20.07	154.82	209.8	73.91	0.95	154.23	3.12	186.52	375.48	273.44	426.06	244.1	300.23	441.79	447.73	342.89	410.31	243.02	274.48	417.49	414.06	190.82	340.11	111.04	217.91	19.61	169.41	185.53	420.58	162.37	599.02	21.41	525.14	300.58	283.65
Shkbp1	0.0	0.0	0.0	0.18	0.0	0.0	0.32	0.0	0.0	0.71	0.0	0.0	0.0	50.41	0.0	0.0	0.0	0.0	0.0	0.0	10.84	0.0	0.0	0.0	7.86	0.31	9.34	0.0	0.0	0.0	0.0	0.0	31.42	0.0	0.15	0.31	1.86	0.12	2.89	0.0	0.25	0.0	0.0	3.71	0.38	0.0	1.34	0.0	8.39	0.0	0.0	0.0	0.0	0.0	0.0	3.51	0.0	0.0	0.0	14.05	13.35
Slc25a33	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.63	0.0	0.0	0.0	0.0	0.0	0.0	7.95	198.8	0.0	0.0	14.21	32.52	0.32	0.0	0.0	0.33	7.05	0.0	0.0	0.0	0.0	7.32	0.18	6.03	4.36	9.85	4.17	1.11	3.32	0.32	2.09	2.78	7.66	6.61	28.16	0.0	6.34	0.0	0.0	0.0	12.44	1.15	0.0	0.0	0.0	37.88	37.19
Slc36a1	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.17	0.0	0.0	25.34	0.0	44.36	0.0	0.0	0.15	0.0	25.73	26.87	0.08	0.04	0.0	2.92	3.5	7.93	0.28	0.0	0.0	0.0	0.09	0.16	16.17	0.11	9.59	11.76	4.9	5.72	11.73	16.05	14.8	3.44	5.51	4.0	4.98	10.01	6.58	0.0	0.2	0.0	21.12	0.0	0.0	6.68	0.0	10.75	0.0	0.05	36.14	40.34	38.5
Slc36a4	0.0	0.11	0.0	0.0	0.0	0.0	48.39	0.0	0.0	0.0	0.0	0.0	0.0	108.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	8.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.92	7.24	0.0	8.09	0.35	11.72	5.98	1.08	15.17	0.1	8.24	2.69	5.8	0.0	136.29	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	2.67	34.49	33.11
Slc3a1	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	16.38	0.0	16.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	2.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.12
Slc7a4	42.15	143.17	239.03	1.2	0.24	57.24	245.03	70.36	88.72	0.31	35.03	16.91	206.41	226.75	0.1	176.7	7.26	25.49	0.0	0.0	15.9	142.08	8.69	85.87	25.24	76.79	74.93	0.0	1.56	274.98	164.48	0.26	0.0	333.27	153.39	182.86	169.19	118.05	162.03	221.24	220.87	178.43	232.23	153.01	191.96	273.68	260.93	86.27	132.62	62.88	54.08	86.63	20.07	2.44	0.0	138.46	40.36	0.07	196.02	51.56	56.62
Slc9a6	0.08	1.51	7.12	0.0	0.0	0.0	48.55	1.59	2.47	0.0	0.0	52.39	3.77	17.94	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.12	0.0	5.39	12.31	14.69	33.6	197.71	45.41	0.0	4.91	0.0	0.0	0.0	18.02	5.41	23.26	23.11	11.16	14.14	10.46	6.29	16.46	9.63	12.86	10.12	10.98	0.0	0.0	0.0	40.17	0.09	0.0	0.0	13.74	19.42	0.0	0.0	0.0	78.9	75.88
Snap29	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	5.07	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.12	0.0	12.81	4.36	22.08	0.17	0.0	0.0	0.0	0.0	0.0	0.18	0.0	2.99	0.83	6.02	10.84	10.78	0.26	3.08	1.05	0.64	0.35	2.25	6.59	5.54	38.86	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	22.72	17.65
