	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_13	Ctgf_tdTpositive_cell_14	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_79	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_123	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_68	Ntsr1_tdTpositive_cell_69	Ntsr1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_77	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_180	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tekt5	0.0	0.0	67.82	0.0	11.63	0.0	72.21	0.0	252.69	2.79	0.0	0.0	0.0	145.63	0.0	0.0	0.26	0.43	0.68	127.18	98.47	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	384.94	0.0	40.21	11.21	27.25	19.81	52.22	30.34	37.78	41.72	40.15	0.0	104.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.63	9.69	11.67
Tespa1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0
Thbs2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61	3.68	3.48
Tmco5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.08
Tmppe	0.25	4.02	2.16	1.61	1.63	2.23	1.34	0.8	43.56	3.14	0.63	0.22	0.24	0.31	0.46	0.32	0.79	1.29	0.28	1.55	1.77	1.82	0.77	0.43	0.34	2.26	3.59	14.89	3.38	0.47	1.84	1.66	1.09	1.48	2.5	3.63	6.47	4.1	2.44	4.69	1.4	3.89	1.17	0.24	0.84	1.14	0.93	0.49	0.43	0.47	7.94	7.99	8.39
Tuba3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	19.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.22	0.2
Txlna	0.0	0.0	0.0	30.04	0.0	0.51	23.47	0.0	19.42	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.23	0.17	0.32	0.0	0.0	1.55	0.07	0.6	1.97	0.13	0.0	4.7	6.68	6.92	3.74	4.76	9.96	6.75	5.0	2.62	0.07	0.0	28.8	0.0	0.05	0.0	0.0	0.0	1.86	0.0	30.84	31.54	29.7
Uba7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.23	0.0	0.0	0.0	1.32	0.06	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	2.73	3.5
Ube2u	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	48.77	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.28	0.0	0.35	0.0	0.0	0.0	0.17	0.24	0.0	0.0	0.77	0.0	0.3	0.0	0.0	0.0	0.0	0.17	0.0	0.09	0.0	0.0	0.0	0.0	0.38	0.19	0.16	0.0	0.26	0.0	0.0	0.0	0.36	0.28	0.08
Usp43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.63	0.0	0.0	2.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.17	0.0	0.0	0.0	0.0	1.59	0.0	0.0	6.25	1.26	1.14	2.6	0.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.29	3.54	3.57
Vmn2r118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Wdr24	42.37	0.0	0.0	0.0	36.95	0.0	13.48	0.11	215.73	3.77	0.0	0.0	0.0	0.0	35.0	65.09	34.45	65.83	0.0	132.86	103.11	0.0	0.0	131.06	35.3	0.13	0.0	0.14	3.29	0.19	0.0	0.0	13.48	20.64	17.61	8.3	0.79	17.51	21.6	13.3	5.09	1.42	0.0	0.0	0.0	0.0	151.17	0.88	0.0	46.32	19.69	21.56	21.33
Wnt16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	0.84	0.74
Zfp652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.95	0.0	0.0	0.0	0.0	0.0	1.88	0.0	7.15	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	6.53	0.0	0.32	0.76	1.26	0.0	0.0	2.33	2.74	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.85	14.74	16.25
Zzz3	0.03	0.02	0.0	0.0	2.26	0.0	0.0	0.0	55.56	0.0	8.95	0.04	11.34	0.0	2.98	0.0	5.11	0.0	20.28	19.01	0.07	38.16	0.0	0.0	0.03	0.05	0.0	1.44	15.52	0.54	0.0	6.17	6.13	5.6	11.97	5.4	6.59	4.91	8.83	5.27	8.2	3.04	4.65	0.0	0.0	2.81	0.0	3.18	0.28	0.03	23.42	21.15	25.04
c17_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.42	0.0	0.0	0.0	0.0	0.0	2.63	0.0	4.19
mt_AK159675	4.8	4.46	6.59	0.0	5.52	2.86	4.54	3.43	74.71	0.0	0.0	10.31	5.38	2.82	4.22	0.0	4.68	18.33	0.0	0.0	15.49	11.67	1.46	13.65	5.36	4.19	0.0	13.81	0.0	5.82	15.32	21.11	34.11	0.0	3.23	33.73	17.4	21.1	0.0	7.06	14.13	7.26	0.0	3.02	10.22	6.06	9.58	6.04	4.92	5.28	11.59	6.35	7.4
