	Chrna2_tdTpositive_cell_75	Nos1_tdTpositive_cell_38	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_10	Ntsr1_tdTpositive_cell_12	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_33	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_61	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_5	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_30	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tmed8	80.46	43.69	0.0	0.84	19.25	0.0	0.0	0.04	30.65	22.44	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	54.88	0.0	0.0	85.51	5.05	0.0	0.0	0.14	84.29	4.83	0.0	0.0	0.57	17.04	6.19	0.0	0.0	0.0	45.28	0.0	5.71	12.14	8.58	8.45	3.94	0.68	2.15	7.38	4.45	6.01	44.1	3.33	0.0	0.0	6.46	75.5	3.55	26.5	7.27	30.32	28.31	30.02
Tmem131	0.0	0.0	0.0	0.0	18.77	4.94	0.0	1.22	13.13	39.07	12.97	0.0	0.07	0.3	0.0	10.3	0.0	0.24	29.71	0.0	0.0	0.12	0.03	0.0	0.07	0.48	0.0	35.45	0.0	13.5	12.12	1.19	0.0	31.3	0.0	0.0	0.0	16.01	93.31	2.09	4.54	5.2	6.74	2.18	3.98	4.68	3.24	3.48	4.24	0.0	0.0	0.0	0.55	0.0	0.07	0.05	7.64	1.43	40.15	38.48	40.92
Tprgl	36.87	9.38	97.77	37.57	3.84	0.0	113.0	1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	12.54	94.55	77.0	0.0	1.27	195.94	43.67	0.0	31.83	0.58	104.29	62.96	29.11	0.0	3.14	3.93	0.0	50.34	73.1	0.0	0.0	0.0	21.05	17.12	6.68	18.48	30.9	14.92	8.62	16.65	26.6	23.21	0.0	0.0	0.0	0.0	41.67	0.0	138.21	0.0	7.97	166.3	184.18	170.58
Trmt2b	0.0	0.3	0.0	0.21	0.0	0.3	0.09	0.14	0.05	0.29	0.01	0.0	0.13	0.0	0.0	0.34	0.21	0.32	0.0	0.26	0.44	0.05	0.52	0.17	0.0	0.1	65.72	22.61	0.48	0.09	2.63	0.23	0.25	0.15	0.37	0.0	0.0	0.0	0.0	0.11	7.96	9.04	7.06	5.28	6.88	0.06	5.38	5.57	6.85	29.18	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.06	8.54	11.71	9.89
Ttyh1	2.22	7.04	21.05	5.48	14.72	1.18	23.84	0.83	3.7	39.09	34.5	1.0	3.66	36.21	71.67	3.07	13.12	1.31	4.94	30.9	7.15	12.63	31.31	7.6	24.05	31.51	94.47	102.19	1.98	74.8	7.12	25.31	24.61	12.99	10.91	27.58	0.52	0.52	0.95	11.48	9.11	18.05	15.55	27.48	11.26	30.0	18.8	18.18	21.32	6.24	3.38	0.29	3.48	3.46	2.01	69.64	13.05	10.55	290.25	308.4	320.21
Txlnb	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	1.2	0.93
U2af1	15.46	60.88	0.0	3.92	0.0	0.0	91.79	7.36	4.99	0.0	28.65	78.85	104.44	0.0	0.0	112.96	81.42	20.49	14.39	2.54	151.04	0.23	81.33	0.0	0.0	15.43	5.44	193.53	0.0	5.15	0.0	0.0	43.8	0.27	142.33	1.43	82.8	0.0	0.0	20.48	23.56	7.02	47.76	44.3	40.72	22.35	22.72	21.82	21.21	0.37	0.0	4.26	34.85	0.0	212.28	87.67	0.0	2.31	65.34	73.45	66.17
Ulk4	57.89	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.04	0.0	38.12	0.0	45.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.58	0.0	0.05	0.0	0.0	0.0	0.0	27.31	0.0	0.0	0.0	0.0	13.6	0.0	0.0	0.15	0.0	0.0	0.0	5.18	0.0	5.02	1.9	1.07	2.76	0.0	1.38	1.26	1.86	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.23	0.0	3.73	3.86	4.42
Vac14	0.34	0.0	100.11	0.0	0.0	0.0	0.0	20.41	0.0	0.0	0.0	37.99	0.0	0.08	0.0	0.25	0.0	0.18	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	74.9	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	2.22	0.0	6.23	3.95	11.47	0.0	2.34	1.18	2.27	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.22	20.16	21.36	21.99
Wdr5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.25	0.0	0.0	80.0	0.0	0.0	0.0	23.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.86	0.0	0.0	0.0	13.14	0.0	0.08	92.57	31.7	33.56	0.0	0.0	16.12	2.99	3.49	11.87	0.0	11.45	3.74	11.39	4.85	7.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.57	24.86	23.99	21.86
Zfp358	0.0	0.0	0.0	0.0	12.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	7.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	26.24	31.27	28.42
Zfp646	0.0	0.68	0.0	0.0	0.0	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.82	0.0	0.0	0.0	0.0	37.1	0.0	10.44	0.75	2.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	6.55	3.04	3.62	3.84	0.27	0.0	1.54	2.25	0.84	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	11.22	11.77	10.28
c4_tRNA-Ser-TCY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c5_tRNA-Asp-GAY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.71	6.32	3.46
