	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_20	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTpositive_cell_74	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Ndnf_tdTnegative_cell_9	Nos1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_20	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_167	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTnegative_cell_13	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_26	Sst_tdTpositive_cell_83	Ntsr1_tdTpos_100cell_2	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tulp4	0.43	111.46	10.6	18.16	23.16	0.06	3.27	0.0	0.0	0.0	0.04	0.0	0.0	0.61	9.95	29.7	0.28	0.0	13.52	13.66	5.44	44.47	20.1	62.55	1.56	18.34	0.71	0.0	0.03	4.97	1.46	0.0	1.43	3.99	40.79	5.43	22.5	1.86	0.0	67.43	4.69	11.3	20.36	0.03	0.08	31.4	0.0	34.51	59.3	56.91	65.23
Ugcg	16.85	0.0	16.27	2.27	69.33	63.83	255.8	0.0	230.83	210.82	40.81	102.86	0.0	34.48	38.1	7.41	8.1	48.99	114.45	0.07	0.0	0.06	6.4	0.7	0.16	173.35	70.01	0.0	30.71	7.05	0.0	0.11	69.9	116.1	94.16	0.0	83.99	0.0	8.85	72.42	119.91	25.43	80.19	60.97	61.95	183.32	57.87	42.34	61.2	57.48	58.66
Uimc1	4.62	0.0	18.66	68.51	0.0	6.17	193.79	34.37	21.52	0.0	0.0	5.8	0.0	47.91	0.0	0.0	0.08	0.24	0.37	15.64	0.0	64.62	0.0	0.15	41.38	13.93	9.01	0.0	0.43	19.99	0.0	1.04	0.0	32.99	28.31	0.0	27.05	0.0	43.47	144.35	8.1	14.3	0.0	0.29	12.78	0.0	17.71	0.0	11.1	11.03	10.99
Utp6	4.17	2.31	2.77	2.2	0.07	4.19	5.8	4.17	94.18	14.24	2.37	2.3	1.67	73.87	3.83	3.47	49.11	20.13	1.27	0.24	0.14	3.16	2.09	1.14	1.35	5.4	0.72	55.26	13.36	5.37	2.39	0.51	3.2	11.28	6.17	0.58	64.01	0.18	1.95	142.23	54.82	12.94	2.52	0.53	1.48	2.96	6.13	2.43	27.71	26.96	28.11
Wdr55	0.0	0.0	0.0	349.92	0.0	0.0	250.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.37	0.0	0.21	0.0	0.0	0.0	189.91	8.69	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	193.37	0.0	35.78	0.0	0.0	0.0	0.0	0.0	0.0	15.86	16.63	12.4
Zfp41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	254.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.78	0.0	3.98	0.0	0.0	0.0	0.0	0.0	0.0	5.21	5.39	5.92
Zfp446	0.24	0.0	0.8	0.69	0.61	1.22	0.95	0.98	0.55	0.64	0.84	0.94	0.77	0.27	0.75	0.53	0.98	0.65	0.87	0.44	0.17	1.11	1.19	1.47	0.29	0.66	0.42	0.44	0.08	0.66	1.89	0.7	0.72	1.88	0.28	0.42	0.74	0.0	0.83	11.96	0.38	1.34	0.17	0.42	0.03	0.38	0.08	0.63	6.42	6.43	6.43
Zfp663	0.38	0.08	0.22	0.0	0.0	0.0	0.43	0.0	0.0	0.76	0.0	0.15	0.0	0.0	0.09	0.11	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.08	0.0	0.0	0.05	0.0	0.25	0.67	0.0	0.1	0.0	0.0	0.06	0.0	0.0	0.0	0.09	0.07	0.15
c12_5S	123.75	0.0	55.93	0.0	0.0	0.0	104.55	0.0	0.0	0.0	0.0	0.0	11.12	0.0	132.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.28	0.0	0.0	86.35	0.0	0.0	399.47	31.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78	1.67
c5_tRNA-Met	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78	0.0	5.74
