	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_12	Ctgf_tdTpositive_cell_15	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_99	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_76	Rbp4_tdTpositive_cell_99	Rbp4_tdTpositive_cell_108	Rbp4_tdTpositive_cell_125	Rbp4_tdTpositive_cell_132	Rbp4_tdTpositive_cell_135	Rbp4_tdTpositive_cell_153	Rbp4_tdTpositive_cell_159	Rbp4_tdTpositive_cell_162	Rorb_tdTpositive_cell_40	Rorb_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Rnf165	28.53	0.72	2.14	0.26	0.91	0.33	0.35	0.1	0.19	0.04	0.0	0.0	0.33	0.17	0.18	25.59	0.63	0.16	0.41	2.18	0.2	0.86	0.0	0.22	2.01	13.75	1.51	2.79	0.83	2.32	0.2	0.23	0.88	0.0	4.38	2.42	6.63	5.8	1.08	3.39	2.59	2.59	2.55	0.66	0.04	0.19	0.06	0.16	7.29	7.58	24.71	25.79	25.0
Rufy2	15.26	2.4	17.85	10.84	28.84	2.29	5.73	1.09	1.54	12.4	1.73	17.95	0.98	2.65	27.18	8.29	21.56	6.38	22.02	6.78	22.51	23.65	1.36	3.51	6.4	12.89	10.28	65.72	41.46	11.02	1.44	6.44	23.45	1.54	12.77	11.44	13.49	6.78	9.12	17.18	13.73	8.69	10.79	14.13	34.14	0.5	0.28	33.85	10.37	35.99	26.51	23.33	25.25
Scarf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.52	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	2.99	0.47	1.34	0.21	0.0	1.67	0.48	0.0	0.0	0.08	0.0	0.0	0.0	0.0	2.46	3.12	2.79
Scyl3	0.0	31.71	0.0	0.15	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.44	19.21	0.0	42.46	0.0	0.0	0.0	1.58	0.0	0.39	99.6	0.0	12.36	24.82	0.0	0.0	0.0	2.42	3.93	8.56	3.46	0.13	2.99	6.16	6.89	3.9	0.0	0.0	2.07	0.0	7.27	0.0	2.25	20.83	20.68	21.52
Sertad2	0.0	0.0	0.76	0.0	14.98	0.0	33.59	0.0	0.0	0.57	0.06	0.0	0.0	7.49	0.0	0.07	0.06	5.65	0.0	4.78	0.71	0.0	0.0	0.0	0.0	11.39	0.07	25.05	0.0	0.0	0.0	0.0	0.0	0.1	1.08	6.99	2.83	1.34	3.14	3.01	3.9	5.8	2.86	21.73	0.0	0.0	0.0	0.0	0.0	0.09	15.77	15.71	15.34
Shank2	0.0	3.03	0.0	0.32	10.22	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.57	0.0	0.0	0.0	0.0	0.0	0.0	0.83	3.08	11.06	21.98	0.08	0.15	0.28	1.26	5.86	0.07	1.83	0.72	0.05	0.9	0.69	0.23	2.14	1.09	0.64	0.76	0.0	0.0	0.07	0.15	0.2	0.0	66.62	61.5	75.84
Slc27a4	0.0	0.1	32.68	1.14	35.56	15.71	0.45	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	6.8	0.16	25.66	0.16	44.67	39.62	0.0	0.0	13.74	0.29	1.96	18.44	32.85	4.86	22.84	0.0	19.25	0.0	14.77	4.26	23.51	4.44	9.54	10.04	11.75	8.7	11.1	81.08	0.0	7.21	0.0	0.0	0.0	0.99	57.45	59.9	55.47
Slc35a2	0.0	0.0	1.77	14.47	94.56	0.0	18.86	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.34	0.0	0.47	0.0	41.77	75.91	0.0	0.0	97.95	37.78	0.0	135.83	0.0	48.44	11.89	23.9	0.0	0.0	6.51	9.97	12.51	6.74	19.22	11.49	14.21	16.15	12.91	0.34	0.0	0.0	0.0	2.98	0.0	38.44	30.97	30.5	31.31
Slc7a5	0.0	0.06	13.6	0.0	19.44	36.62	25.7	0.0	9.53	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.66	5.34	0.0	0.09	0.0	8.49	0.0	0.0	45.28	0.0	0.0	0.07	34.87	0.5	402.29	10.76	4.46	0.0	2.49	0.88	0.06	1.52	1.07	2.75	0.0	0.0	0.0	0.0	0.0	0.0	0.14	49.64	51.38	45.15
Slc9a9	0.0	1.38	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	55.05	54.54	0.0	14.88	0.0	0.0	11.85	45.22	14.04	0.0	0.07	0.0	0.0	0.0	1.92	3.67	0.0	3.47	0.0	0.11	1.11	5.3	1.19	0.0	0.08	21.46	0.0	0.0	0.0	50.11	12.35	12.82	15.3
Snord100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1	19.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28	2.96	0.0
Spock2	30.63	0.0	22.73	19.99	26.29	1.38	40.22	2.5	12.1	0.44	7.43	1.06	0.0	0.06	5.5	21.3	2.94	3.7	21.4	6.03	8.01	0.82	0.31	0.16	23.21	14.76	5.73	37.69	2.41	28.35	57.66	0.8	38.83	1.79	13.11	17.91	16.01	30.49	7.26	10.82	17.99	11.86	15.34	1.89	0.64	2.01	0.11	0.08	10.68	1.66	393.08	392.03	397.52
Spred2	0.0	0.0	39.1	0.0	0.0	0.12	3.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	38.21	0.0	17.71	1.43	0.0	0.1	0.09	0.0	0.0	47.12	57.06	0.0	0.08	0.1	29.26	0.0	5.43	14.69	13.8	21.85	4.94	10.1	9.96	7.78	8.58	0.0	0.0	0.08	0.0	0.0	9.1	14.57	61.42	58.66	58.3
Spty2d1	0.0	0.0	0.0	0.0	0.0	3.05	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	2.24	0.0	0.0	0.0	35.04	0.0	0.0	3.47	4.83	0.0	70.31	0.0	13.86	0.05	2.14	7.36	0.08	8.07	6.58	1.14	3.33	0.68	3.18	7.68	2.41	6.78	22.43	0.0	0.09	0.0	0.0	17.28	0.64	13.97	12.3	10.09
Srrm4	0.36	13.11	2.81	0.0	3.79	0.0	5.2	0.0	0.0	0.0	1.48	0.13	0.04	8.94	6.9	7.49	16.01	21.5	0.0	2.69	5.68	1.39	0.0	0.0	3.89	0.21	3.08	34.66	19.36	2.75	7.51	0.31	6.24	94.71	9.13	8.6	3.41	6.46	5.31	3.0	6.26	2.41	2.25	0.0	7.72	21.32	0.06	7.66	0.0	0.0	18.15	20.23	20.38
Stam2	0.0	1.52	0.0	27.25	24.48	56.21	0.0	0.0	52.81	0.09	10.53	0.0	14.02	0.0	27.68	45.68	23.45	11.86	0.0	40.99	9.48	0.0	0.08	6.03	0.0	12.37	0.0	113.38	0.0	0.0	0.0	0.07	0.0	0.0	11.19	21.89	15.71	11.3	9.75	8.56	20.18	25.6	20.4	2.49	16.06	8.28	0.0	2.34	0.0	16.32	19.34	20.01	18.88
Tada2b	0.0	0.0	2.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.46	0.0	0.0	0.0	0.0	15.56	0.0	0.0	0.0	25.67	0.0	114.71	6.66	0.0	0.06	0.0	0.0	0.0	1.78	9.19	4.84	2.98	1.84	0.78	3.4	0.18	2.01	0.0	1.11	0.0	0.0	0.0	0.0	22.56	25.37	25.24	21.86
Tet3	2.06	0.0	12.94	7.36	3.21	0.0	2.98	0.0	0.0	0.06	3.47	0.0	0.0	17.27	0.02	0.0	0.22	0.0	0.04	8.98	9.91	17.02	0.0	0.0	1.01	5.45	7.97	28.97	5.98	6.08	20.31	3.46	68.24	0.0	2.56	10.95	19.5	12.37	6.47	4.24	4.87	8.85	6.97	0.0	21.02	0.0	6.79	3.02	13.04	0.65	21.31	19.17	20.01
Tns1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.37	0.0	0.0	4.16	0.0	0.0	13.09	2.0	0.0	0.0	0.0	1.15	0.0	1.89	0.39	2.27	2.04	3.62	1.89	3.59	2.96	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3	13.19	13.04
Tor1aip1	2.18	0.0	22.44	0.0	26.71	20.22	0.0	0.0	21.57	0.0	0.0	0.0	0.0	0.07	0.0	2.58	1.1	0.09	6.79	24.15	0.0	0.0	0.0	0.32	0.0	0.0	0.0	1.16	0.0	0.0	1.51	0.0	0.0	0.0	3.11	11.11	7.98	3.89	4.83	3.54	0.96	2.95	4.13	15.54	0.0	7.08	0.0	36.91	0.0	0.0	22.99	21.69	21.05
Traf6	0.13	0.0	0.22	0.0	0.17	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.05	0.0	0.05	0.25	0.0	0.0	0.05	1.36	0.06	0.27	0.0	0.0	0.08	42.62	0.07	11.16	0.08	0.05	0.14	0.05	0.22	0.0	2.82	4.09	3.9	0.06	0.19	0.93	0.6	1.49	1.38	0.06	23.3	5.64	0.0	0.0	0.0	0.09	10.24	10.31	10.0
Ttc9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.0	6.41	0.0	0.0	0.0	0.0	0.0	30.9	0.0	0.0	48.39	5.33	8.38	0.0	0.0	0.0	0.0	19.97	1.77	0.99	3.0	2.93	2.73	11.48	8.66	4.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.03	41.2	41.23
Unk	1.29	0.0	0.16	13.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.59	0.0	0.0	0.76	0.98	0.0	0.0	0.17	0.0	0.0	45.06	0.0	0.0	0.0	0.0	1.26	0.0	1.43	1.72	0.0	0.0	2.49	0.95	1.44	0.37	2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.06	15.06	16.53	17.51
Vsx2	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.21	0.11	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.07	0.0	0.09	0.24	0.1	0.0	40.72	0.27	0.09	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.09	0.0	0.19	0.0	0.33	0.0	0.0	0.0	0.24	0.0	0.18	0.03	0.49	0.2	0.46
Wasf3	14.15	0.0	6.79	17.2	0.0	4.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3	0.0	0.0	0.33	0.18	0.0	0.0	11.93	0.18	8.18	0.36	0.0	0.0	0.17	11.51	9.47	11.57	9.69	0.87	7.95	4.11	8.46	4.4	0.0	0.0	0.0	0.0	0.47	0.0	0.0	65.21	62.16	68.55
Wdyhv1	115.76	0.0	0.0	0.0	72.82	67.57	0.0	4.91	174.84	0.0	0.0	0.0	31.52	0.0	0.0	0.0	0.0	0.0	0.0	173.65	0.0	6.35	0.0	13.36	44.0	0.0	0.0	205.25	0.0	0.0	41.31	0.0	0.0	0.0	86.22	36.82	20.01	39.72	17.16	56.25	25.61	29.79	29.26	50.14	301.97	3.91	0.0	0.0	0.0	0.0	23.23	23.31	20.38
Xpo4	0.0	0.0	1.58	1.82	0.36	0.0	0.0	5.29	6.87	0.0	0.0	0.0	5.41	0.0	0.08	1.11	3.95	0.0	0.0	3.7	0.0	0.66	0.0	0.0	3.92	3.28	0.0	71.22	0.0	9.62	3.01	0.0	44.75	0.0	1.84	4.54	1.57	1.84	3.12	1.48	3.09	2.87	2.1	24.36	0.0	0.55	0.0	0.0	0.0	0.0	6.75	7.46	7.35
Zbtb25	0.0	0.0	34.21	0.0	0.0	68.94	0.28	0.0	0.0	67.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.52	0.0	79.0	0.0	0.0	0.0	0.0	0.0	19.64	126.19	0.0	0.0	0.0	0.0	0.0	0.0	23.86	15.82	0.0	0.0	19.99	0.0	12.83	16.04	7.99	0.0	0.0	1.83	0.0	0.0	0.0	0.0	14.89	12.79	15.23
Zfp180	0.0	39.93	12.16	0.0	0.0	67.89	0.0	0.0	0.0	0.0	0.0	0.01	5.45	0.0	0.0	54.65	0.1	0.0	0.0	1.73	0.0	0.3	0.0	25.75	0.44	37.07	74.82	130.06	0.14	9.31	68.95	46.21	6.36	2.33	4.28	25.39	17.69	5.37	4.62	12.97	25.47	23.6	35.68	0.57	0.0	0.0	0.13	17.0	37.81	0.0	35.55	34.52	33.49
Zfp335	0.0	0.0	1.05	0.0	7.99	0.0	2.29	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.0	20.92	0.0	0.0	0.0	0.44	2.03	0.0	5.77	1.01	0.5	2.2	4.65	0.0	0.39	2.17	2.86	0.07	0.0	0.0	0.0	0.0	0.05	0.0	22.0	22.79	23.63
Zfp456	0.0	0.0	0.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.0	0.0	12.21	0.0	1.26	2.72	0.0	100.48	0.0	0.0	0.72	35.02	0.0	0.0	0.0	1.22	0.87	2.08	0.15	0.41	1.73	1.69	2.08	0.0	0.0	0.06	0.0	0.0	0.0	0.0	1.05	0.98	1.08
Zfp770	0.0	0.0	0.0	0.0	0.0	0.17	29.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	14.34	0.0	8.18	0.0	0.0	56.27	2.19	0.0	24.39	0.0	0.0	0.0	0.0	0.0	0.0	4.63	3.42	16.6	7.39	11.17	1.01	8.19	3.85	4.53	0.0	0.0	0.0	0.0	0.0	0.0	10.85	17.34	15.01	15.31
Zfpm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.08	22.49	24.12
Zkscan4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	25.06	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.22	0.0	0.0	0.0	0.25	0.1	0.58	1.3	34.42	0.25	0.0	0.0	0.0	0.0	0.7	4.65	4.11	4.38
