	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_17	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_107	Htr3a_tdTpositive_cell_111	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_77	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_159	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_62	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Spnb1	4.55	16.19	0.22	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	18.86	4.31	0.0	15.75	0.0	6.56	0.1	39.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.22	0.17	1.64	0.42	0.86	12.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.65	51.12	57.7
St8sia6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.78	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	1.06	1.16
Strn4	4.9	0.0	0.22	27.7	0.09	10.92	0.64	0.0	0.0	28.77	2.12	0.0	74.91	1.69	19.38	118.85	0.0	0.54	337.41	0.0	60.96	3.89	16.4	0.0	0.0	47.42	16.59	120.22	19.45	23.97	25.3	16.14	19.38	20.92	6.29	9.83	8.61	27.16	0.0	78.06	82.62	0.12	33.2	0.0	158.54	169.33	162.89
Sytl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	1.17	1.28
Taf15	20.77	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	146.01	0.0	0.0	0.0	11.94	0.0	0.0	0.77	19.23	323.73	13.9	0.13	19.42	3.81	3.21	2.9	0.0	14.63	0.53	3.08	75.9	0.0	0.0	0.0	0.0	0.0	53.65	49.26	54.28
Tas1r3	0.18	0.0	0.24	0.22	0.0	0.11	0.0	0.0	0.0	1.28	0.08	0.15	0.11	0.09	0.75	0.0	0.12	0.16	2.11	2.49	0.24	0.51	0.0	0.0	0.33	0.29	0.38	0.5	0.0	0.0	0.11	0.09	0.2	0.11	0.0	0.28	0.0	0.0	0.06	0.27	0.0	0.25	0.0	0.2	0.96	0.62	0.29
Tbc1d8	0.29	0.0	0.0	0.0	18.16	0.56	0.07	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05	0.21	0.05	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.65	1.75	0.49	3.08	2.17	6.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.16	19.89	20.27
Tbrg4	0.27	0.0	0.0	74.99	0.0	3.55	5.11	0.0	0.0	0.0	9.97	0.0	63.65	0.0	0.0	10.64	0.0	1.93	227.89	0.0	0.0	0.0	0.0	0.0	3.9	0.0	0.0	0.0	14.7	15.34	1.0	10.97	10.8	10.29	6.05	0.0	0.12	5.1	0.12	0.0	2.63	0.0	9.85	7.78	25.98	27.91	25.75
Tecpr1	0.0	5.38	1.12	8.64	0.62	25.7	0.0	0.0	3.84	0.0	0.0	0.0	0.0	0.0	0.08	2.58	1.01	0.0	95.25	0.56	0.0	0.0	0.89	1.25	34.81	31.48	0.0	25.31	2.99	14.88	12.58	3.63	2.71	5.22	0.0	0.0	2.53	0.0	0.0	0.92	0.0	0.0	0.0	1.03	59.71	59.83	62.65
Tgfb2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.23	0.0	0.05	0.0	0.0	0.16	0.12	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.32	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.13	0.0	8.68	7.93	8.15
Theg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.42	16.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	1.2	1.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.97	0.44
Thoc3	0.0	0.09	0.0	0.0	0.0	21.12	15.67	0.0	0.0	12.69	0.0	0.0	3.49	0.0	0.44	53.13	0.0	0.0	86.3	1.42	0.0	3.91	0.81	0.0	1.01	0.0	0.0	0.0	1.85	0.56	7.34	2.58	6.24	4.5	0.56	0.0	0.0	8.96	0.0	59.38	0.89	0.0	0.0	0.0	27.23	27.25	25.86
Tmbim1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.1	0.0	82.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	0.0	0.0	0.0	0.0	6.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9	28.9	29.91
Tmtc3	0.0	0.0	0.0	0.0	0.0	9.22	0.0	0.0	35.28	0.0	0.0	19.11	0.0	0.64	0.0	0.0	0.0	6.67	93.78	0.0	21.36	0.0	1.56	0.0	78.74	0.37	0.0	0.0	6.55	6.85	0.82	7.92	4.6	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	8.71	7.38	8.91
Trim21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	1.64	2.1	1.69
Tsnaxip1	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.38	0.42
Tusc1	12.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15	0.0	0.0	0.0	1.29	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.38	10.92	8.48
Uck2	0.0	0.0	0.0	0.0	0.0	1.59	36.89	0.0	0.0	0.0	0.0	0.0	13.22	0.0	68.59	0.0	0.0	0.0	76.66	0.0	23.23	73.57	0.0	0.0	0.0	124.95	21.36	5.11	5.48	8.1	14.98	3.65	7.64	2.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.5	27.44	26.67
Uhrf1bp1	0.0	0.0	3.06	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.27	0.0	0.0	0.0	0.0	53.32	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	2.88	2.46	0.84	0.34	0.55	0.64	0.0	0.0	17.55	0.0	0.26	0.0	0.0	0.0	3.99	0.0	10.52	9.84	10.13
Wscd2	0.0	0.0	0.0	0.0	0.0	0.11	1.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	0.5	6.14	0.0	0.0	0.0	8.77	0.0	0.15	4.2	0.0	0.0	0.56	0.07	0.1	0.39	0.45	0.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.78	36.67	38.34
Zfp213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.26	9.42	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.37	6.9	8.07	7.7
Zfp26	9.56	5.67	4.08	1.38	17.54	0.16	6.69	0.04	5.15	0.14	0.03	0.14	17.0	0.14	0.18	0.2	0.64	21.57	53.1	0.31	0.2	7.47	1.59	0.37	34.39	21.11	0.07	44.76	2.68	4.87	1.06	4.61	2.78	3.91	0.1	0.03	0.15	0.14	12.52	0.18	0.1	0.5	0.05	0.13	7.34	7.04	7.87
Zfp287	1.18	0.42	1.39	0.64	27.88	0.83	0.92	3.92	0.28	1.63	0.77	0.38	15.73	0.43	0.99	1.78	0.34	0.84	126.99	1.45	0.58	1.94	54.71	4.3	0.94	0.86	6.59	2.77	6.22	1.32	3.84	4.15	3.92	2.01	0.89	0.54	1.51	0.84	0.93	0.87	0.82	1.29	0.66	34.91	10.47	9.82	10.1
Zfp619	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.03	0.26	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.09	3.6	3.61	0.46	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.66	2.41	2.75
Zfp691	4.11	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	1.93	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.0	2.07	0.83	0.64	2.85	2.87	5.36	1.45	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.83	5.04	4.97
Zfp93	0.0	0.0	0.0	0.0	0.0	0.0	51.24	92.18	0.0	0.0	0.0	0.0	0.0	0.0	82.28	67.35	0.12	0.05	115.66	0.24	0.14	0.0	0.0	0.0	0.99	0.15	0.0	0.0	1.36	1.03	9.97	8.61	4.89	5.59	65.05	0.0	3.25	0.1	5.84	0.0	0.26	0.0	6.38	4.36	6.2	5.86	6.29
Zfyve1	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.04	25.68	20.04	0.31	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	3.51	4.91	9.42	5.22	3.3	0.0	0.0	0.22	0.0	0.0	0.43	0.44	0.0	0.0	0.0	32.39	34.07	32.01
Znrf1	9.07	39.67	0.0	4.76	18.09	13.45	30.87	0.0	0.0	9.08	0.05	23.22	0.0	0.0	15.02	32.74	1.72	23.84	46.51	0.0	0.07	20.34	21.37	0.0	8.78	0.0	3.64	0.0	3.37	4.95	6.11	5.04	5.51	6.39	3.61	15.19	4.88	0.0	6.39	28.8	2.5	0.0	74.8	15.91	71.69	73.05	70.91
c7_LSU-rRNA_Hsa	15.51	7.12	8.35	37.05	8.6	19.62	39.89	37.58	39.62	25.93	5.35	4.71	6.21	4.19	7.43	4.36	44.9	69.68	81.43	47.02	42.91	27.59	14.23	15.17	60.6	19.36	19.58	24.62	30.93	21.54	31.48	181.21	228.99	180.95	22.48	26.63	14.55	11.48	4.79	9.12	5.06	0.0	7.36	2.12	94.71	85.64	91.89
mt_AK137202	3.71	5.99	0.0	32.54	33.29	0.0	2.22	5.3	9.28	14.42	1.87	3.97	11.2	20.3	4.6	9.35	8.94	86.63	155.72	12.91	28.79	5.77	46.07	3.9	18.45	7.25	1.86	1.55	11.2	71.71	14.31	17.19	11.48	26.18	9.88	0.0	19.21	4.53	2.61	4.56	27.4	2.22	19.33	5.63	363.87	211.46	248.44
